ticker,name,signal_date,balanced_raw_score,balanced_score,value_momentum_raw_score,value_momentum_score,defensive_raw_score,defensive_score,aggressive_raw_score,aggressive_score,ml_signal_date,ml_score,regime,target_exposure,composite_score,factor_scope,rank,name_fundamental,fiscal_period,revenue,operating_income,net_income,equity,shares_outstanding,roe,operating_margin,net_margin,sales_growth,sector,date,adj_close,volume,trading_value,analyst_sector,sector_master_source,valuation_family,sector_master_confidence,universe_sector,corp_code,corp_name,stock_name,dart_industry_code,hm_url,ir_url,dart_sector,total_assets,total_liabilities,current_liabilities,noncurrent_liabilities,ebitda_proxy,net_debt_proxy,financial_data_basis,dart_report_year,borrowings,interest_expense,interest_income,analyst_note_readiness,backlog_evidence,segment_sales_evidence,net_debt_evidence,ebitda_evidence,nav_evidence,guidance_evidence,margin_risk_evidence,dart_table_bridge_count,revenue_segment_bridge_count,ebitda_bridge_count,backlog_bridge_count,nav_bridge_count,eps,bps,current_per,current_pbr,market_cap_proxy,enterprise_value_proxy,current_psr,ev_ebitda_proxy,net_debt_to_equity,earnings_yield,op_income_yield,book_discount_proxy,sector_model,sector_source,sector_rank
047040,(주)대우건설,2026-06-30,0.492018892822036,1.862639512855529,1.326787813600616,3.0,-0.6724475062932462,-2.1113470492801896,2.135450351569854,3.0,2026-05-29,3.0,neutral,0.8,1.522786395286174,institutional_core_satellite_regime_overlay,4,(주)대우건설,2025-12,8054627137857.0,-815431279791.0,-916079534292.0,3474605615293.0,415622638.0,-0.3153,-0.1291,-0.1247,-0.2372,,2026-06-30,18840,4480768,85124986345,Construction & Infrastructure,kospi200_constituent,pbr_backlog_margin,0.85,Constructions,124540,(주)대우건설,대우건설,41112,daewooenc.com,,Construction & Infrastructure,13358502674960.0,9883897059667.0,5110936916240.0,4772960143427.0,-815431279791.0,4772960143427.0,OpenDART CFS annual,2025,,,,1.0,3,3,3,3,3,3,3,259,49,52,70,88,-2204.1136611331553,8360.00087005126,-8.547653568062447,2.2535882822084536,7830330499920.0,12603290643347.0,0.9721530700182509,-15.455981338583554,1.3736696108529471,-0.1169911709730974,-0.10413753031233242,-1.2535882822084536,Construction & Infrastructure,master/KOSPI200,1.0
000210,디엘(주),2026-06-30,0.3685119198743855,1.4297889711109508,0.1353972174258474,0.5648093110746278,0.4694542675477123,1.199513597073818,0.2770887730619533,0.4125546921196393,2026-05-29,-0.0325260907407285,neutral,0.8,0.9182749519259238,institutional_core_satellite_regime_overlay,13,디엘(주),2025-12,5326721292281.0,298546039560.0,-96298295176.0,4921075694028.0,22641999.0,0.0565,0.9197,1.0913,0.5841,,2026-06-30,43250,63604,2781410775,Construction & Infrastructure,kospi200_constituent,pbr_backlog_margin,0.85,Constructions,109693,디엘 주식회사,DL,20111,www.dlholdings.co.kr,,Energy & Chemicals,12182144221519.0,7261068527491.0,2409846279860.0,4851222247631.0,298546039560.0,4851222247631.0,OpenDART CFS annual,2025,,,,1.0,3,3,3,3,3,3,3,259,74,64,50,71,-4253.082741325093,217342.81032465375,-10.169094426440669,0.19899439017741477,979266456750.0,5830488704381.0,0.18384037816453133,19.529613298417992,0.9858052485391007,-0.09833717320982872,0.304867012958677,0.8010056098225853,Construction & Infrastructure,master/KOSPI200,2.0
028050,삼성이앤에이(주),2026-06-30,0.104149600178127,0.5032876524697691,0.3020521144971399,0.9771501668885816,0.0134727242546768,-0.12257152595266,0.2166164816062361,0.3134493342680159,2026-05-29,0.6460082092512269,neutral,0.8,0.5014324310253374,institutional_core_satellite_regime_overlay,29,삼성이앤에이(주),2025-12,9028769083650.0,792078846892.0,648307939623.0,4446187475181.0,196000000.0,0.1223,0.0731,0.0836,-0.3017,,2026-06-30,47600,1630350,77578911275,Construction & Infrastructure,kospi200_constituent,pbr_backlog_margin,0.85,Constructions,126308,삼성이앤에이(주),삼성E&A,72129,www.samsungena.com,,,10039557572475.0,5593370097294.0,5258678217510.0,334691879784.0,792078846892.0,334691879784.0,OpenDART CFS annual,2025,,,,1.0,3,3,3,3,3,3,3,252,40,39,63,110,3307.693569505102,22684.629975413267,14.390692184682006,2.0983370701479926,9329600000000.0,9664291879784.0,1.0333191505467527,12.201174059508405,0.07527615100628995,0.0694893607038887,0.08489955055865203,-1.0983370701479926,Construction & Infrastructure,master/KOSPI200,3.0
081660,(주)미스토홀딩스,2026-06-30,0.5096645910025382,1.924481770297375,-0.0431190023140525,0.1231209351684992,0.8378072940063395,2.2675262468528556,0.6287781077604555,0.9889227530755824,2026-05-29,0.431150773314683,neutral,0.8,1.3341522991861576,institutional_core_satellite_regime_overlay,5,(주)미스토홀딩스,2025-12,4468646269416.0,474780974997.0,348617792581.0,2594417063998.0,53091840.0,0.5571,0.9048,0.9086,1.1084,,2026-06-30,41450,202003,8628119750,Consumer & Retail,kospi200_constituent,per_pbr_margin,0.85,Consumer Discretionary,195229,(주)미스토홀딩스,미스토홀딩스,464,www.mistoholdings.com,,Consumer & Retail,5519193378050.0,2924776314052.0,1098261768129.0,1826514545923.0,474780974997.0,1826514545923.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,109,38,19,16,36,6566.31588924023,48866.58785979164,6.312519942563418,0.8482278345058312,2200656768000.0,4027171313923.0,0.49246609270945946,8.482166569434352,0.7040173190613921,0.15841534111556646,0.2157451275005008,0.15177216549416883,Consumer & Retail,master/KOSPI200,1.0
161890,한국콜마(주),2026-06-30,0.2487637047412303,1.010111615604048,0.183659704894488,0.684221315979688,0.4575861300257715,1.1651028006576425,0.0526742615697859,0.0447716970794243,2026-05-29,-0.3612896369217172,neutral,0.8,0.7016515421847419,institutional_core_satellite_regime_overlay,16,한국콜마(주),2025-12,2722419169325.0,239594740448.0,168220449431.0,1667349364857.0,23605077.0,0.1417,0.1253999999999999,0.0958,0.1256,,2026-06-30,99500,454716,45648545750,Consumer & Retail,kospi200_constituent,per_pbr_margin,0.85,Consumer Staples,939331,한국콜마(주),한국콜마,20423,https://www.kolmar.co.kr/,,Energy & Chemicals,3457768462781.0,1790419097924.0,1360076779082.0,430342318842.0,239594740448.0,430342318842.0,OpenDART CFS annual,2025,,,,1.0,1,3,3,3,3,3,3,168,67,35,15,51,7126.452052285193,70635.20126865081,13.962066855988175,1.408646088818606,2348705161500.0,2779047480342.0,0.8627272346463608,11.59895027389028,0.2580996687991111,0.07162263369130847,0.1020114164925592,-0.4086460888186061,Consumer & Retail,master/KOSPI200,2.0
005380,현대자동차(주),2026-06-30,0.2130235044987383,0.8848541935508043,0.3793834971625821,1.168485009547925,-0.0698776589915452,-0.3642398638695048,0.6037690543732056,0.9479365240802956,2026-05-29,0.7420873070049295,neutral,0.8,0.6632081679569916,institutional_core_satellite_regime_overlay,18,현대자동차(주),2025-12,186254472000000.0,11467851000000.0,10364775000000.0,127648237000000.0,265390108.0,0.0583,0.0446,0.0515,-0.0037,,2026-06-30,495000,786003,390188412250,Consumer & Retail,kospi200_constituent,per_pbr_margin,0.85,Consumer Discretionary,164742,현대자동차(주),현대자동차,30121,www.hyundai.com,,Industrials,368844849000000.0,241196612000000.0,88579290000000.0,152617322000000.0,11467851000000.0,152617322000000.0,OpenDART CFS annual,2025,,,,1.0,3,3,3,3,3,3,3,256,63,52,34,107,39054.86560184828,480983.4019887433,12.674477107317815,1.0291415420018688,131368103460000.0,283985425460000.0,0.7053151639763044,24.763613118098586,1.1956085378601822,0.07889871838757229,0.08729555118752112,-0.029141542001868803,Consumer & Retail,master/KOSPI200,3.0
073240,금호타이어(주),2026-06-30,0.1770650904496945,0.7588320052489207,0.0826616081899453,0.4343298194644897,0.507768088793205,1.3106017185559828,-0.3248027758681708,-0.5738586867791727,2026-05-29,-0.2507368717249416,neutral,0.8,0.6023717353586746,institutional_core_satellite_regime_overlay,21,금호타이어(주),2025-12,4701282075494.0,575859298284.0,376772981397.0,2238707317451.0,287260287.0,0.2857,0.1156,0.1085,-0.0215,,2026-06-30,4880,4854063,23569696563,Consumer & Retail,kospi200_constituent,per_pbr_margin,0.85,Consumer Discretionary,481454,금호타이어(주),금호타이어,221,www.kumhotire.co.kr,https://www.kumhotire.com/ko/company/irdata/list.do,Energy & Chemicals,5539548526344.0,3300841208893.0,2263383931022.0,1037457277871.0,575859298284.0,1037457277871.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,123,43,41,19,20,1311.6083163872909,7793.305997257463,3.7206229474371804,0.6261784153884523,1401830200560.0,2439287478431.0,0.29818040654637784,4.235908816094174,0.4634180045707147,0.2687721959810022,0.41079104876892863,0.3738215846115477,Consumer & Retail,master/KOSPI200,4.0
004170,(주)신세계,2026-06-30,0.1988348324189585,0.8351276538276424,0.5012926195221082,1.470114980995755,-0.3540237903784552,-1.1881007823601033,0.9577875231555388,1.528121699640396,2026-05-29,0.6132144857607748,neutral,0.8,0.5130967984103423,institutional_core_satellite_regime_overlay,26,(주)신세계,2025-12,6929498818333.0,479961762138.0,64603501354.0,6572365891815.0,9645181.0,0.0141999999999999,0.1192,0.0297,0.0063,,2026-06-30,755000,58963,44010603500,Consumer & Retail,kospi200_constituent,per_pbr_margin,0.85,Consumer Discretionary,136378,(주)신세계,신세계,47111,www.shinsegae.com,www.shinsegae.com/company/ir-ko/corporate-governance.do#direct_move,Consumer & Retail,15833341277876.0,9260975386061.0,5175725424774.0,4085249961287.0,479961762138.0,4085249961287.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,201,52,24,24,101,6698.0081922775735,681414.4692375395,112.72007712240074,1.1079893869069117,7282111655000.0,11367361616287.0,1.0508857633013966,23.68389007834883,0.6215798128912194,0.00887153402950672,0.0659096955494292,-0.10798938690691173,Consumer & Retail,master/KOSPI200,5.0
035250,(주)강원랜드,2026-06-30,0.1341483308038947,0.6084231480058553,-0.0154456857663377,0.1915908045154155,0.4516269214278323,1.147824511331612,-0.3046148580420514,-0.5407736031437721,2026-05-29,0.0062380034852677,neutral,0.8,0.5124999230688012,institutional_core_satellite_regime_overlay,27,(주)강원랜드,2025-12,1476727048701.0,235311359166.0,318192728196.0,3964518835963.0,213940500.0,0.0785,0.1596,0.2082999999999999,0.0348,,2026-06-30,14300,465844,6715109710,Consumer & Retail,kospi200_constituent,per_pbr_margin,0.85,Consumer Discretionary,255619,(주)강원랜드,강원랜드,91249,kangwonland.high1.com ,http://kangwonland.high1.com,,4845197185257.0,880678349294.0,802657029337.0,78021319957.0,235311359166.0,78021319957.0,OpenDART CFS annual,2025,,,,0.857,0,3,3,3,3,3,3,194,47,68,34,45,1487.2954311876433,18530.941247510407,9.614767651495496,0.7716823343725822,3059349150000.0,3137370469957.0,2.0717092929875904,13.332847513509739,0.019679896397326174,0.1040066735096254,0.07691549660685182,0.22831766562741784,Consumer & Retail,master/KOSPI200,6.0
034730,에스케이(주),2026-06-30,0.3560220898630208,1.386016303400858,0.6523353960752624,1.8438280181938185,-0.1897752949510484,-0.711874287059819,1.31275385775121,2.1098602904649897,2026-05-29,0.997874259881858,neutral,0.8,0.9803721195635148,institutional_core_satellite_regime_overlay,10,에스케이(주),2025-12,122703338000000.0,1818476000000.0,3555246000000.0,85691335000000.0,73068838.0,0.089,0.2251,0.3721,-0.0255,,2026-06-30,834000,377589,306951163000,Energy & Chemicals,kospi200_constituent,ev_ebitda_spread_cycle,0.85,Energy & Chemicals,181712,SK(주),SK,64992,www.sk-inc.com/,,Financials,213519668000000.0,127828333000000.0,67125293000000.0,60703040000000.0,1818476000000.0,60703040000000.0,OpenDART CFS annual,2025,,,,1.0,3,3,3,3,3,3,3,586,262,108,66,150,48656.11794729786,1172748.0187929086,17.14070162571029,0.7111502101350154,60939410892000.0,121642450892000.0,0.4966402046210022,66.89252478009058,0.7083918111440323,0.05834066900155619,0.029840721683752375,0.28884978986498455,Energy & Chemicals,master/KOSPI200,1.0
