sector_model,primary_method,count,top_ticker,top_name,avg_composite_score,avg_ml_score,median_per_positive,median_pbr,median_psr,median_earnings_yield,median_op_income_yield,avg_roe,avg_op_margin,avg_sales_growth,total_market_cap_proxy,dart_coverage,primary_sector_source
IT Hardware & Components,Forward PER,7,000660,에스케이하이닉스(주),1.4742180665265763,2.051701183887236,44.91968588477267,5.156061757726411,6.74356882617599,0.02226195442606579,0.02864257343125652,0.1310285714285714,0.24714285714285714,0.2907857142857143,4638594310634400.0,1.0,KOSPI200 constituent sector
Consumer & Retail,PER with PBR cross-check,6,081660,(주)미스토홀딩스,0.7211634110276183,0.19677734348649933,11.144622379406655,0.93868468825385,0.7840211993113326,0.09145269594859884,0.09465348384004016,0.18925000000000003,0.24486666666666665,0.20831666666666662,147660756395060.0,1.0,KOSPI200 constituent sector
Financials,PBR/ROE,5,138930,(주)BNK금융지주,0.8508649367535209,0.5977718982638511,6.450520662977372,0.5622988940509331,7.694008601044218,0.15502624551526192,0.17262172037013715,0.12746,0.8353800000000001,0.62876,47598644240680.0,1.0,KOSPI200 constituent sector
Energy & Chemicals,EV/EBITDA or replacement value,5,034730,에스케이(주),0.6820265803594512,0.2131262945464898,10.712211183729641,0.7111502101350154,0.4966402046210022,0.05834066900155619,0.029840721683752375,0.06863999999999999,0.19363999999999998,0.30855999999999995,79611496878100.0,1.0,KOSPI200 constituent sector
Construction & Infrastructure,PBR plus order/margin cycle,3,047040,(주)대우건설,0.9808312594124784,1.2044940395034995,14.390692184682006,2.0983370701479926,0.9721530700182509,-0.09833717320982872,0.08489955055865203,-0.045500000000000006,0.2879,0.015066666666666654,18139196956670.0,1.0,KOSPI200 constituent sector
Industrials,PER with PBR cross-check,2,000120,씨제이대한통운(주),0.5851518535750577,0.17217653362678537,15.207672743428416,0.9447354264316137,0.25057608261054515,0.09746935598475368,0.19570682748502605,0.056249999999999994,0.41705000000000003,0.0842,13276744690400.0,1.0,KOSPI200 constituent sector
Gaming & Internet,PER plus pipeline valuation,1,259960,(주)크래프톤,0.5760616201967645,-0.578348550538508,15.247715087937804,1.5572215416138315,3.3630312755598983,0.06558359690174709,0.0942479948033264,0.1043,0.3682999999999999,0.0943,11187304116000.0,1.0,KOSPI200 constituent sector
Packaging & Materials,PER with PBR cross-check,1,014820,동원시스템즈(주),0.4946435721777791,-0.404946052452827,10.242804130869885,0.6379152503391948,0.40083344282415895,0.0976295150452197,0.12021879619261336,0.0742999999999999,0.044,0.0288,550293942330.0,1.0,KOSPI200 constituent sector
