date,equity_curve,running_peak,drawdown
2023-08-01,1.0117579697784842,1.0117579697784842,0.0
2023-08-02,0.9987720935325077,1.0117579697784842,-0.012834963137300148
2023-08-03,0.9924264534346169,1.0117579697784842,-0.01910685847930582
2023-08-04,0.9896947519876679,1.0117579697784842,-0.021806813931643076
2023-08-07,0.9696426383466038,1.0117579697784842,-0.04162589541162809
2023-08-08,0.9890512287388817,1.0117579697784842,-0.022442858586598446
2023-08-09,0.9990582932088216,1.0117579697784842,-0.012552089480889483
2023-08-10,0.9971309800576346,1.0117579697784842,-0.014457004696540321
2023-08-11,0.9932233395774919,1.0117579697784842,-0.018319233210537855
2023-08-14,0.9868851301721366,1.0117579697784842,-0.024583784214512572
2023-08-16,0.958986058383451,1.0117579697784842,-0.05215863177888991
2023-08-17,0.9547225966301975,1.0117579697784842,-0.05637254645078216
2023-08-18,0.9520491605588824,1.0117579697784842,-0.05901491364844347
2023-08-21,0.9575950319483431,1.0117579697784842,-0.053533492641525404
2023-08-22,0.9612187013038174,1.0117579697784842,-0.049951935131019476
2023-08-23,0.9544296712321207,1.0117579697784842,-0.056662067667146765
2023-08-24,0.9620192528461484,1.0117579697784842,-0.04916068705959953
2023-08-25,0.9560978668460357,1.0117579697784842,-0.05501325869924678
2023-08-28,0.9807631209859607,1.0117579697784842,-0.030634647532659876
2023-08-29,0.9871655568958367,1.0117579697784842,-0.024306616421348015
2023-08-30,0.9842473330091298,1.0117579697784842,-0.027190926675257687
2023-08-31,0.9974993201330646,1.0117579697784842,-0.014092945221416353
2023-09-01,0.9653989413561191,1.0117579697784842,-0.04582027501351427
2023-09-04,0.9794108488199618,1.0117579697784842,-0.03197120450220381
2023-09-05,0.9807803989142259,1.0117579697784842,-0.030617570396841653
2023-09-06,0.9678223236939067,1.0117579697784842,-0.04342505559328269
2023-09-07,0.9563303760238622,1.0117579697784842,-0.05478345158650688
2023-09-08,0.9638170867381746,1.0117579697784842,-0.04738374638235454
2023-09-11,0.9772548101022869,1.0117579697784842,-0.03410218718983904
2023-09-12,0.9635534694814102,1.0117579697784842,-0.047644300056888134
2023-09-13,0.9480209871067636,1.0117579697784842,-0.06299627438138711
2023-09-14,0.9621065050491749,1.0117579697784842,-0.04907444884291845
2023-09-15,0.974082369274444,1.0117579697784842,-0.03723776004679158
2023-09-18,0.977299235687722,1.0117579697784842,-0.034058277888640354
2023-09-19,0.9755080249954263,1.0117579697784842,-0.03582867233652187
2023-09-20,0.9732010989501627,1.0117579697784842,-0.03810878884083635
2023-09-21,0.9524862205332396,1.0117579697784842,-0.05858293289077987
2023-09-22,0.9476656831358448,1.0117579697784842,-0.06334744924882763
2023-09-25,0.9382355789686999,1.0117579697784842,-0.07266796309583945
2023-09-26,0.9285774743011498,1.0117579697784842,-0.08221382777498265
2023-09-27,0.9494827348734709,1.0117579697784842,-0.06155151406284243
2023-10-04,0.9214256748725514,1.0117579697784842,-0.08928251380684482
2023-10-05,0.9114949392832324,1.0117579697784842,-0.09909784107478148
2023-10-06,0.9196515498433605,1.0117579697784842,-0.09103602114969211
2023-10-10,0.9076529910555354,1.0117579697784842,-0.10289514076745221
2023-10-11,0.9296778166788544,1.0117579697784842,-0.0811262728353902
2023-10-12,0.9398616963571436,1.0117579697784842,-0.07106074334861101
2023-10-13,0.9311048869587383,1.0117579697784842,-0.07971578700526993
2023-10-16,0.9268617069602748,1.0117579697784842,-0.08390965562326802
2023-10-17,0.9287077209856258,1.0117579697784842,-0.08208509472976178
2023-10-18,0.9159451020837162,1.0117579697784842,-0.09469939506950009
2023-10-19,0.891452151419867,1.0117579697784842,-0.11890770515497606
2023-10-20,0.874542305764868,1.0117579697784842,-0.13562103597133846
2023-10-23,0.8634340841044443,1.0117579697784842,-0.1466001653602137
2023-10-24,0.8760927230047489,1.0117579697784842,-0.13408863663652482
2023-10-25,0.8800103422562209,1.0117579697784842,-0.1302165453177585
2023-10-26,0.8511604320665989,1.0117579697784842,-0.15873118127949792
2023-10-27,0.8449667251243872,1.0117579697784842,-0.16485290913064365
2023-10-30,0.8521455525211927,1.0117579697784842,-0.1577575092314195
2023-10-31,0.8257662231123318,1.0117579697784842,-0.18383027583847322
2023-11-01,0.8365767694833858,1.0117579697784842,-0.17314536235721756
2023-11-02,0.843773435521025,1.0117579697784842,-0.16603233112583038
2023-11-03,0.8442557761678107,1.0117579697784842,-0.1655555959172199
2023-11-06,0.8850905060087002,1.0117579697784842,-0.12519541980728532
2023-11-07,0.882027259109983,1.0117579697784842,-0.12822306771342218
2023-11-08,0.8773228923254648,1.0117579697784842,-0.1328727635152237
2023-11-09,0.8845470181321033,1.0117579697784842,-0.12573259163378037
2023-11-10,0.8819773553760116,1.0117579697784842,-0.12827239149980396
2023-11-13,0.8705397858616968,1.0117579697784842,-0.1395770412836046
2023-11-14,0.8731335559408776,1.0117579697784842,-0.13701341425356628
2023-11-15,0.8831717558373874,1.0117579697784842,-0.12709187155624746
