date,strategy_return,benchmark_return
2007-08-01,-0.030712266290225942,-0.03643095224119261
2007-08-02,0.003611745341359633,0.0002015397283478828
2007-08-03,0.01649411391332116,0.013423238263559702
2007-08-06,-0.012572178239346511,-0.008682378602108192
2007-08-07,0.01670488883475245,0.004763812194264344
2007-08-08,0.015673480141961228,0.02269312120052392
2007-08-09,-0.010980574863001545,-0.0021614571434750173
2007-08-10,-0.04852784960322443,-0.03910414123459902
2007-08-13,-0.0012290426936362076,0.007198620152713383
2007-08-14,-0.0189064724630361,-0.020972855741297487
2007-08-16,-0.09468783948207238,-0.08042963321849064
2007-08-17,-0.015604475893374494,-0.028627330192810867
2007-08-20,0.08116665863106501,0.06266918331342224
2007-08-21,-0.005942819297839888,0.0010319832401542435
2007-08-22,0.0150555548289776,0.020865431644906486
2007-08-23,0.003360726308245748,0.0248684884032237
2007-08-24,-0.001555286191630518,-0.004163283667926714
2007-08-27,0.005047053247806794,0.008433260905896973
2007-08-28,0.006963480062084471,0.01565750154345597
2007-08-29,-0.0018902041564207363,0.004663382178756208
2007-08-30,0.01946570304841583,0.011686467449657689
2007-08-31,0.025815525847935943,0.017908920104406117
2007-09-03,-0.00022614201524072814,0.0032507568559707986
2007-09-04,-0.005073314195379102,-0.0014053450494219508
2007-09-05,-0.0057045624390170595,-0.00967527615851972
2007-09-06,0.003123285204213617,0.011900030614314395
2007-09-07,-0.013160790264325876,-0.003798505376840744
2007-09-10,-0.024519362270958585,-0.02607718021351028
2007-09-11,-0.001168010520230038,0.004609840983519273
2007-09-12,-0.021294193245940105,-0.017044216753924014
2007-09-13,0.01107544598034563,0.019670028276752554
2007-09-14,0.011106999142951627,0.015037227550627839
2007-09-17,-0.00949681287225811,0.004834037173905715
2007-09-18,-0.012332424710066268,-0.014334602195525648
2007-09-19,0.06541436773959076,0.03084855559031341
2007-09-20,-0.01144111382617876,0.003267962191899447
2007-09-21,0.019083001603716534,0.01038197231846956
2007-09-27,0.0024352959128655298,0.01311211101498228
2007-09-28,0.007524473709626339,6.836763024171487e-05
2007-10-01,0.033881224140248294,0.0076161441808828495
2007-10-02,0.017798467061459034,0.019108971496617413
2007-10-04,0.013092614357863332,0.0006628036496024481
