date,ticker,name,open,high,low,close,adj_close,volume,trading_value,market_cap,sector,is_suspended,is_administrative
2023-01-02,000080,,25600,25650,24300,24400,24400,200315,4938129250,,,,
2023-01-03,000080,,24150,24550,23850,24100,24100,196883,4762648150,,,,
2023-01-04,000080,,23900,24200,23400,24150,24150,216695,5174734100,,,,
2023-01-05,000080,,24400,24450,24050,24100,24100,207740,5029448900,,,,
2023-01-06,000080,,24050,24400,23650,24250,24250,277417,6704689950,,,,
2023-01-09,000080,,24450,25450,24400,25400,25400,302826,7605089400,,,,
2023-01-10,000080,,25400,26250,25200,25600,25600,292312,7545597850,,,,
2023-01-11,000080,,25800,25800,25350,25600,25600,185540,4735564375,,,,
2023-01-12,000080,,25600,25650,25000,25000,25000,211378,5329388200,,,,
2023-01-13,000080,,25250,25650,25200,25600,25600,114105,2909291500,,,,
2023-01-16,000080,,25650,25800,25400,25600,25600,117108,2999552050,,,,
2023-01-17,000080,,25650,25700,25200,25250,25250,112911,2863711400,,,,
2023-01-18,000080,,25300,25450,24950,25250,25250,74121,1874148850,,,,
2023-01-19,000080,,25300,25650,24950,25450,25450,166887,4240062800,,,,
2023-01-20,000080,,25550,25950,25350,25900,25900,194179,4993750250,,,,
2023-01-25,000080,,26200,26250,25750,25750,25750,214666,5563872904,,,,
2023-01-26,000080,,25850,26000,25600,25800,25800,156164,4020757226,,,,
2023-01-27,000080,,25850,26000,25600,25900,25900,184946,4777272620,,,,
2023-01-30,000080,,25950,26700,25950,26000,26000,365759,9632984924,,,,
2023-01-31,000080,,26050,26400,25850,26300,26300,137235,3601769000,,,,
2023-02-01,000080,,26300,26350,25900,26000,26000,179899,4686360200,,,,
2023-02-02,000080,,26300,26550,25900,26000,26000,221773,5799281150,,,,
2023-02-03,000080,,25950,26300,25650,26150,26150,183430,4770429200,,,,
2023-02-06,000080,,26050,26350,25700,26100,26100,139559,3642194250,,,,
2023-02-07,000080,,26100,26250,25800,25900,25900,147646,3833587200,,,,
2023-02-08,000080,,25900,26000,25750,25850,25850,196701,5086160050,,,,
2023-02-09,000080,,25750,26000,25700,25750,25750,169531,4382043550,,,,
2023-02-10,000080,,25800,25950,25450,25550,25550,178484,4567996950,,,,
2023-02-13,000080,,25650,25750,25200,25650,25650,143191,3651255350,,,,
2023-02-14,000080,,25650,25900,25450,25450,25450,172431,4417433300,,,,
2023-02-15,000080,,25450,25600,25050,25200,25200,149163,3765796500,,,,
2023-02-16,000080,,25250,25300,25000,25100,25100,153250,3852978400,,,,
2023-02-17,000080,,25000,25150,24750,24950,24950,85537,2135193700,,,,
2023-02-20,000080,,25450,25650,25250,25400,25400,223544,5689087650,,,,
2023-02-21,000080,,25500,25500,25100,25150,25150,174112,4397998550,,,,
2023-02-22,000080,,24950,24950,24350,24400,24400,303054,7460457100,,,,
2023-02-23,000080,,24500,24900,24450,24850,24850,99512,2458460350,,,,
2023-02-24,000080,,24950,25000,24650,24850,24850,84537,2094387300,,,,
2023-02-27,000080,,24550,24550,23950,24100,24100,280990,6759401850,,,,
2023-02-28,000080,,24150,24450,23850,23900,23900,184275,4438857350,,,,
2023-03-02,000080,,24000,24300,23700,24200,24200,216847,5217888850,,,,
2023-03-03,000080,,24200,24250,23900,24050,24050,148581,3569986350,,,,
2023-03-06,000080,,24050,24100,23650,23700,23700,237408,5642531850,,,,
2023-03-07,000080,,23700,23850,23550,23550,23550,214837,5087256600,,,,
2023-03-08,000080,,23500,23550,23050,23150,23150,345750,8026799950,,,,
2023-03-09,000080,,23050,23300,22800,22850,22850,245297,5624302950,,,,
