model_name,research_split,rows,months,rmse,mae,prediction_mean,actual_mean,direction_hit_rate,mean_rank_ic,median_rank_ic,positive_rank_ic_rate,residual_std
composite_baseline,test,10319,53,0.1282588889586326,0.08614683519997252,0.00018191155387187289,-6.885771254579903e-19,0.4905514100203508,0.02144832379627612,0.005217407682962433,0.5283018867924528,0.12825875995459107
composite_baseline,train,16326,114,0.10495770863990746,0.07506080386105732,4.692232555380117e-19,4.488222444276635e-19,0.5045326473110376,0.02438250612345966,0.026105081417780177,0.5614035087719298,0.10495770863990746
composite_baseline,validation,10499,60,0.10293633668295868,0.07208079679317787,0.00026788875227515133,-3.172367914920916e-20,0.495951995428136,0.02305271061074015,0.028168838332256523,0.6166666666666667,0.10293598809611645
ridge_linear,test,10319,53,0.12812869092766016,0.08604290694798268,0.00034483280666798897,-6.885771254579903e-19,0.5189456342668863,0.03926361923775186,0.03721720881921468,0.5660377358490566,0.12812822690247186
ridge_linear,train,16326,114,0.10482431132384669,0.07497022068171263,-5.549075022014748e-18,4.488222444276635e-19,0.5238270243782923,0.049993236192653376,0.05346695402794437,0.6403508771929824,0.10482431132384669
ridge_linear,validation,10499,60,0.1030823283189501,0.0725220480982366,0.002238976139616806,-3.172367914920916e-20,0.48414134679493287,0.023265116407329225,0.02434741595223718,0.6333333333333333,0.10305800986581319
