ticker,rows,start_date,end_date,first_adj_close,last_adj_close,total_volume,total_trading_value,simple_return
010060,731,2023-01-02,2025-12-30,62062,115200,109924885,9615199822784,0.856208307821211
010120,731,2023-01-02,2025-12-30,11020,92000,1426477014,49642640906712,7.348457350272232
010130,731,2023-01-02,2025-12-30,539000,1316000,41053695,30451734942403,1.4415584415584415
010140,731,2023-01-02,2025-12-30,5080,24100,5368782672,64323855395069,3.744094488188976
010950,731,2023-01-02,2025-12-30,82800,83000,201347696,14121272460225,0.0024154589371980784
011070,731,2023-01-02,2025-12-30,253000,271000,132052439,29275936448181,0.07114624505928857
011170,731,2023-01-02,2025-12-30,175500,70300,105616717,10935437611365,-0.5994301994301994
011200,731,2023-01-02,2025-12-30,19350,20500,1623440023,31514476757603,0.05943152454780365
011210,731,2023-01-02,2025-12-30,50400,75700,93026109,5242952882200,0.501984126984127
011780,731,2023-01-02,2025-12-30,121000,120700,74180058,9444322469781,-0.0024793388429752428
011790,731,2023-01-02,2025-12-30,82808,98129,294644528,33144525470330,0.18501835571442382
012330,731,2023-01-02,2025-12-30,202500,373000,147367274,36930372802064,0.8419753086419752
012450,731,2023-01-02,2025-12-30,74973,941000,388477325,111939335250546,11.551185093300255
0126Z0,26,2025-11-24,2025-12-30,438500,743000,35245505,19097484906000,0.6944127708095782
012750,731,2023-01-02,2025-12-30,57800,72100,39089458,2369561203152,0.24740484429065734
014680,731,2023-01-02,2025-12-30,186000,227500,47485762,8251438603690,0.2231182795698925
014820,731,2023-01-02,2025-12-30,38750,25050,41072855,1709707283675,-0.35354838709677416
015760,731,2023-01-02,2025-12-30,19350,47200,1648202743,47414604812147,1.4392764857881137
016360,731,2023-01-02,2025-12-30,30400,75400,234666284,11479782297428,1.4802631578947367
017670,731,2023-01-02,2025-12-30,47250,53500,467068127,24319759517917,0.13227513227513232
017800,731,2023-01-02,2025-12-30,26600,88300,135135096,7676164420629,2.319548872180451
017960,731,2023-01-02,2025-12-30,10800,29850,356944327,6055702847654,1.7638888888888888
018260,731,2023-01-02,2025-12-30,120500,171500,121664403,18051652503858,0.4232365145228216
018880,731,2023-01-02,2025-12-30,7771,2965,1131361339,5502517555175,-0.6184532235233561
021240,731,2023-01-02,2025-12-30,55900,86900,123933807,8332532968261,0.5545617173524151
022100,731,2023-01-02,2025-12-30,6100,28750,2635796303,74134716491070,3.7131147540983607
023530,731,2023-01-02,2025-12-30,91100,72500,50072356,3588306983400,-0.2041712403951701
024110,731,2023-01-02,2025-12-30,9460,20950,774361001,10965596066371,1.214587737843552
026960,731,2023-01-02,2025-12-30,19900,26850,90974281,2138691347625,0.3492462311557789
028050,731,2023-01-02,2025-12-30,23000,24050,724170027,17982694178942,0.04565217391304355
028260,731,2023-01-02,2025-12-30,111500,239500,237922450,34565087509520,1.1479820627802693
028670,731,2023-01-02,2025-12-30,5500,3850,2244880935,9873189440745,-0.30000000000000004
029780,731,2023-01-02,2025-12-30,28900,55900,54403130,2132072636639,0.9342560553633219
030000,731,2023-01-02,2025-12-30,21750,21000,227739589,4392641543710,-0.03448275862068961
030200,731,2023-01-02,2025-12-30,32500,52600,491822868,18913329278011,0.6184615384615384
032640,731,2023-01-02,2025-12-30,10750,14720,701151559,8011881107398,0.3693023255813954
032830,731,2023-01-02,2025-12-30,70400,157600,217736452,20970507354835,1.2386363636363638
033780,731,2023-01-02,2025-12-30,89000,142100,210329754,21966633070237,0.5966292134831461
034020,731,2023-01-02,2025-12-30,15250,75300,4902715325,152602490864855,3.9377049180327868
034220,731,2023-01-02,2025-12-30,11553,11810,1225750779,14701212465398,0.022245304249978393
034230,731,2023-01-02,2025-12-30,17450,16550,534447786,8564800530130,-0.0515759312320917
034730,731,2023-01-02,2025-12-30,185000,256500,139420848,24933087472539,0.38648648648648654
035250,731,2023-01-02,2025-12-30,22900,18950,471919895,8127977815607,-0.17248908296943233
035420,731,2023-01-02,2025-12-30,179500,242500,670908991,143121034197004,0.350974930362117
035720,731,2023-01-02,2025-12-30,52700,60100,1638011169,84858903477968,0.1404174573055028
036460,731,2023-01-02,2025-12-30,33250,39300,693674286,29246921109011,0.1819548872180452
036570,731,2023-01-02,2025-12-30,431500,201500,84885590,20127785671106,-0.5330243337195828
039490,731,2023-01-02,2025-12-30,80900,289500,66783566,10247134028382,2.5784919653893694
042660,731,2023-01-02,2025-12-30,16613,113600,1804481850,108271379478894,5.8380184193101785
042700,731,2023-01-02,2025-12-30,11300,127400,1458209376,105769927389974,10.274336283185841
047040,731,2023-01-02,2025-12-30,4000,3820,1044485002,4212028802971,-0.04500000000000004
047050,731,2023-01-02,2025-12-30,21600,49600,1085444807,60411407441505,1.2962962962962963
047810,731,2023-01-02,2025-12-30,49250,114400,604984102,39697610520084,1.3228426395939086
051600,731,2023-01-02,2025-12-30,31900,49450,144211713,6213400076874,0.5501567398119123
051900,731,2023-01-02,2025-12-30,720000,258500,49407542,19946731478257,-0.6409722222222223
051910,731,2023-01-02,2025-12-30,604000,333000,215400397,89147170573454,-0.44867549668874174
052690,731,2023-01-02,2025-12-30,53400,90000,209548682,16595751220620,0.6853932584269662
055550,731,2023-01-02,2025-12-30,34300,76900,1049477657,52031888023398,1.24198250728863
062040,345,2024-07-29,2025-12-30,50200,130100,254359592,19401324131477,1.591633466135458
064350,731,2023-01-02,2025-12-30,27850,187900,1421294027,83036898284741,5.746858168761221
064400,222,2025-02-05,2025-12-30,55800,61400,234861835,15239536454360,0.10035842293906816
066570,731,2023-01-02,2025-12-30,86400,91900,488811335,48005570118812,0.06365740740740744
066970,731,2023-01-02,2025-12-30,185400,95200,443266398,79326611015326,-0.4865156418554477
068270,731,2023-01-02,2025-12-30,140299,172523,486501749,77036842179676,0.2296808958011105
069260,731,2023-01-02,2025-12-30,19100,18940,60286947,1210768207500,-0.008376963350785305
069620,731,2023-01-02,2025-12-30,160500,172300,32552571,4210766518950,0.07352024922118372
069960,731,2023-01-02,2025-12-30,57900,88600,62027762,3750947507109,0.5302245250431779
071050,731,2023-01-02,2025-12-30,51800,161700,125140996,11833282815111,2.1216216216216215
071320,731,2023-01-02,2025-12-30,27650,96400,19556284,1082229574975,2.4864376130198913
071970,731,2023-01-02,2025-12-30,6870,89500,430795301,10840341930180,12.027656477438137
073240,731,2023-01-02,2025-12-30,2775,5860,402605661,2037074456778,1.111711711711712
078930,731,2023-01-02,2025-12-30,42600,56300,152871762,6793062788483,0.3215962441314555
079550,731,2023-01-02,2025-12-30,88900,421000,196697796,40966712419822,3.7356580427446566
081660,731,2023-01-02,2025-12-30,33450,42700,100392350,3857470917407,0.27653213751868466
082740,731,2023-01-02,2025-12-30,7250,42950,859999452,19335570496907,4.924137931034482
086280,731,2023-01-02,2025-12-30,81782,180600,149772493,17068318602612,1.208309897043359
086790,731,2023-01-02,2025-12-30,40800,94100,760534255,44392050335399,1.3063725490196076
088350,731,2023-01-02,2025-12-30,2640,3255,1438022667,4246846943368,0.23295454545454541
090430,731,2023-01-02,2025-12-30,135000,119500,207417771,27011121355488,-0.11481481481481481
093370,731,2023-01-02,2025-12-30,10352,7530,699287071,7526410090493,-0.2726043276661515
096770,731,2023-01-02,2025-12-30,152512,101200,377711082,52794451532487,-0.33644565673520777
097950,731,2023-01-02,2025-12-30,376500,208000,36013123,10117221552696,-0.4475431606905711
103140,731,2023-01-02,2025-12-30,32950,106500,245195224,17192740357155,2.2321699544764795
105560,731,2023-01-02,2025-12-30,47600,124700,958894460,73712657600333,1.6197478991596639
111770,731,2023-01-02,2025-12-30,44550,81800,60932057,2982237172924,0.8361391694725029
112610,731,2023-01-02,2025-12-30,67800,41600,286330949,16398203911318,-0.3864306784660767
120110,731,2023-01-02,2025-12-30,40050,44850,109843644,4678104436650,0.11985018726591767
128940,731,2023-01-02,2025-12-30,274226,452000,48139812,15496197379052,0.6482755099808188
137310,731,2023-01-02,2025-12-30,28600,8900,312394382,4210213834665,-0.6888111888111887
