ticker,name
003120,일성아이에스(주)
010040,한국내화(주)
009970,(주)영원무역홀딩스
009900,명신산업(주)
009830,한화솔루션(주)
003160,(주)디아이
003090,(주)대웅
010640,진양폴리우레탄(주)
003060,(주)에이프로젠바이오로직스
010660,화천기계(주)
002960,한국쉘석유(주)
011230,삼화전자공업(주)
011210,현대위아(주)
011200,에이치엠엠(주)
002990,금호건설(주)
011170,롯데케미칼(주)
011150,씨제이씨푸드(주)
003000,부광약품(주)
011090,(주)에넥스
011070,엘지이노텍(주)
011000,진원생명과학(주)
010960,삼호개발(주)
003010,(주)혜인
010950,에쓰-오일(주)
010820,퍼스텍(주)
010780,아이에스동서(주)
003030,(주)세아제강지주
010770,평화홀딩스(주)
010690,(주)화신
013870,지엠비코리아(주)
009810,(주)플레이그램
013890,(주)지누스
014130,(주)한익스프레스
002310,아세아제지(주)
018880,한온시스템(주)
018670,에스케이가스(주)
002320,(주)한진
018470,조일알미늄(주)
018260,삼성에스디에스(주)
018250,애경산업(주)
017960,(주)한국카본
019170,신풍제약(주)
002350,넥센타이어(주)
017900,광전자(주)
017860,(주)디에스단석
002360,(주)SH에너지화학
017810,(주)풀무원
017800,현대엘리베이터(주)
017670,에스케이텔레콤(주)
002380,(주)케이씨씨
017550,(주)수산세보틱스
017940,(주)이원
017390,서울도시가스(주)
019180,(주)티에이치엔
019490,(주)엑시큐어하이트론
214420,(주)토니모리
023450,(주)동남합성
002200,한국수출포장공업(주)
023350,(주)한국종합기술
023150,(주)MH에탄올
023000,(주)삼원강재
022100,(주)포스코디엑스
002210,동성제약(주)
019440,(주)세아특수강
021240,코웨이(주)
021050,(주)서원
020760,일진디스플레이(주)
020560,아시아나항공(주)
002240,고려제강(주)
020150,롯데에너지머티리얼즈(주)
020120,(주)키다리스튜디오
020000,(주)한섬
019680,(주)대교
002220,한일철강(주)
017370,(주)우신시스템
017180,명문제약(주)
002390,(주)한독
015260,(주)에이엔피
015230,대창단조(주)
015020,(주)이스타코
014990,(주)인디에프
014910,성문전자(주)
014830,(주)유니드
014820,동원시스템즈(주)
002690,동일제강(주)
002620,제일파마홀딩스(주)
014790,에이치엘디앤아이한라(주)
014680,(주)한솔케미칼
002700,신일전자(주)
014580,(주)태경비케이
014530,극동유화(주)
014440,영보화학(주)
002710,(주)TCC스틸
014280,금강공업(주)
014160,대영포장(주)
014710,사조씨푸드(주)
015360,(주)인베니
002600,(주)조흥
015590,디케이엠이(주)
017040,(주)광명전기
016880,(주)웅진
016800,(주)퍼시스
002410,범양건영(주)
016740,(주)두올
016710,대성홀딩스(주)
016610,디비증권(주)
002420,세기상사(주)
016590,신대양제지(주)
016580,환인제약(주)
016450,한세예스24홀딩스(주)
002450,(주)삼익악기
016380,KG스틸(주)
016360,삼성증권(주)
016090,(주)대현
002460,에이치에스화성(주)
015890,태경산업(주)
015860,일진홀딩스(주)
015760,한국전력공사(주)
002720,국제약품(주)
009770,삼정펄프(주)
009680,(주)모토닉
003200,일신방직(주)
005830,디비손해보험(주)
005820,(주)원림
005810,(주)풍산홀딩스
003960,(주)사조대림
005800,(주)신영와코루
005750,대림바스(주)
005740,(주)크라운해태홀딩스
004000,롯데정밀화학(주)
003920,남양유업(주)
005720,(주)넥센
005680,삼영전자공업(주)
004020,현대제철(주)
005610,(주)에스피씨삼립
005500,삼진제약(주)
005490,포스코홀딩스(주)
004060,(주)에스지세계물산
005440,(주)현대지에프홀딩스
005430,한국공항(주)
005690,파미셀(주)
004080,(주)신흥
005850,에스엘(주)
005880,대한해운(주)
006280,(주)녹십자
003690,코리안리재보험(주)
006260,(주)엘에스
006220,(주)제주은행
006200,(주)한국전자홀딩스
006120,에스케이디스커버리(주)
003720,(주)삼영
006110,삼아알미늄(주)
005870,(주)휴니드테크놀러지스
006090,(주)사조오양
003780,진양산업(주)
006040,동원산업(주)
005960,동부건설(주)
003830,대한화섬(주)
005950,(주)이수화학
005940,엔에이치투자증권(주)
005930,삼성전자(주)
003850,(주)보령
006060,(주)화승인더스트리
005420,코스모화학(주)
005380,현대자동차(주)
004090,한국석유공업(주)
004250,엔피씨(주)
004830,(주)덕성
004800,(주)효성
004770,써니전자(주)
004270,(주)남성
004720,(주)팜젠사이언스
004710,한솔테크닉스(주)
004700,조광피혁(주)
004840,(주)디알비동일
004690,(주)삼천리
004360,세방(주)
004540,깨끗한나라(주)
004490,세방전지(주)
004450,삼화왕관(주)
004440,(주)삼일씨엔에스
004370,(주)농심
004430,송원산업(주)
004410,서울식품공업(주)
004560,현대비앤지스틸(주)
004870,(주)티웨이홀딩스
004890,동일산업(주)
004910,조광페인트(주)
005360,(주)모나미
005320,(주)온타이드
005300,롯데칠성음료(주)
005250,(주)녹십자홀딩스
004100,태양금속공업(주)
005180,(주)빙그레
005110,(주)한창
005090,에스지씨에너지(주)
004140,(주)동방
005070,코스모신소재(주)
005030,부산주공(주)
005010,(주)휴스틸
004150,한솔홀딩스(주)
004990,롯데지주(주)
004980,성신양회(주)
004970,신라교역(주)
004960,한신공영(주)
004170,(주)신세계
004920,(주)씨아이테크
006340,대원전선(주)
006360,지에스건설(주)
003680,한성기업(주)
006370,(주)대구백화점
009140,경인전자(주)
009070,(주)케이씨티시
003350,(주)한국화장품제조
008970,케이비아이동양철관(주)
008930,한미사이언스(주)
008770,(주)호텔신라
008730,율촌화학(주)
003460,유화증권(주)
009150,삼성전기(주)
008700,아남전자(주)
003470,유안타증권(주)
008500,일정실업(주)
008490,(주)서흥
008420,문배철강(주)
008350,(주)남선알미늄
003480,(주)한진중공업홀딩스
008260,(주)엔아이스틸
008250,이건산업(주)
008600,(주)윌비스
003300,한일홀딩스(주)
009160,(주)SIMPAC
009180,한솔로지스틱스(주)
009580,무림피앤피(주)
009540,에이치디한국조선해양(주)
009470,삼화전기(주)
003220,대원제약(주)
009460,(주)한창제지
