signal_date,benchmark,close,ma_120d,ret_60d,vol_60d,drawdown_120d,regime,target_exposure
2023-01-31,069500,30011,,,,,neutral,0.7
2023-02-28,069500,29778,,,,,neutral,0.7
2023-03-31,069500,30511,29790.41935483871,0.11366207978975806,0.1745368938001777,-0.014916217350595673,bull,1.0
2023-04-28,069500,30868,30096.98780487805,0.006619924995923787,0.1557483606187281,-0.023689787139829832,neutral,0.7
2023-05-31,069500,32140,30343.735294117647,0.07426967043251564,0.13516828283698082,-0.00716668726059555,bull,1.0
2023-06-30,069500,32131,30770.225,0.05843792206080978,0.11195260228794625,-0.022155269484768203,bull,1.0
2023-07-31,069500,32841,31225.825,0.06199068684516873,0.11792028832180171,-0.004154284674631525,bull,1.0
2023-08-31,069500,31835,31543.775,-0.01958670813957064,0.13063305190057883,-0.04631377130703096,neutral,0.7
2023-09-27,069500,31172,31897.966666666667,-0.041009075526842076,0.13900475090137912,-0.0661753692220125,bear,0.3
2023-10-31,069500,29165,31782.3,-0.11193325416400235,0.15730259892218668,-0.12629939186962647,bear,0.3
2023-11-30,069500,32300,31761.416666666668,0.014606565101303648,0.18970081452597912,-0.03238369132141039,neutral,0.7
2023-12-28,069500,34407,31804.533333333333,0.10377903246503273,0.19156459374203774,0.0,bull,1.0
2024-01-31,069500,32271,31813.391666666666,0.06280463707021466,0.17993324570464503,-0.06774324012017563,bull,1.0
2024-02-29,069500,34183,32159.375,0.05829721362229101,0.17107343091049054,-0.012822364051173984,bull,1.0
2024-03-29,069500,36201,32701.716666666667,0.04578807487866876,0.18054083512174754,0.0,bull,1.0
2024-04-30,069500,35386,33563.64166666667,0.09652629295652448,0.18761821179210517,-0.025849965588437662,bull,1.0
2024-05-31,069500,34768,34237.40833333333,0.0026820475847151304,0.17728815218122151,-0.042863041982106,neutral,0.7
2024-06-28,069500,37216,34794.05,0.028037899505538588,0.167690431393691,-0.00037604082728981414,neutral,0.7
2024-07-31,069500,36956,35748.03333333333,0.04908167030970567,0.15397682595520962,-0.04261547628299789,bull,1.0
2024-08-30,069500,35187,35899.958333333336,-0.00845379998309237,0.26063470145253276,-0.08844330457760163,neutral,0.7
2024-09-30,069500,33655,35637.86666666667,-0.09097047781109036,0.28348199296252163,-0.12813139555970054,bear,0.3
2024-10-31,069500,33153,35389.05,-0.08977843670208385,0.28114889982326846,-0.14113623999378255,bear,0.3
2024-11-29,069500,31748,34803.875,-0.09299202925463534,0.1904063498184779,-0.17753426077044632,bear,0.3
2024-12-30,069500,31184,33976.8,-0.06357166451457918,0.179914188196024,-0.19214528121033136,stress,0.1
2025-01-31,069500,32637,33211.425,-0.028545064888677252,0.18654006838856618,-0.11756117344869543,neutral,0.7
2025-02-28,069500,32964,32930.15,0.015589377041099306,0.19121647585763868,-0.07072985087249462,neutral,0.7
2025-03-31,069500,33047,32931.78333333333,0.053996300312559864,0.1774385979906517,-0.055503158135413955,bull,1.0
2025-04-30,069500,33532,32724.816666666666,0.04331051649035467,0.2402441372118962,-0.041641658807053616,bull,1.0
2025-05-30,069500,35711,33071.59166666667,0.08606794197256784,0.2347409432186136,-0.009595917574950819,bull,1.0
2025-06-30,069500,41205,34274.833333333336,0.2468605319696191,0.23777659072604534,-0.008804214476437866,bull,1.0
2025-07-31,069500,43578,36215.34166666667,0.2984327513259042,0.15935722268551428,-0.002380843367977614,bull,1.0
2025-08-29,069500,42859,37750.46666666667,0.16785198506771293,0.17222099958180115,-0.018840712421592465,bull,1.0
2025-09-30,069500,47259,39925.6,0.15091812381277103,0.1724028259012212,-0.014472504327153635,bull,1.0
2025-10-31,069500,57827,43003.51666666667,0.32697691495708847,0.21434984178416036,0.0,bull,1.0
2025-11-28,069500,55345,46611.75,0.2913273758137147,0.2838307972102104,-0.07142377772557973,bull,1.0
2025-12-30,069500,60562,49736.541666666664,0.27800286992487555,0.29140006368522214,0.0,bull,1.0
