period,days,start_date,end_date,total_return,cagr,annualized_volatility,sharpe,max_drawdown,benchmark_total_return,active_total_return,tracking_error,information_ratio,win_rate
train_2007_2016,2335,2007-08-01,2016-12-29,3.0762875514100987,0.16375498896661123,0.20242082351224217,0.8509228851150994,-0.46791713172361404,1.1664961579396467,0.8815115533307372,0.09563073876480993,0.7069237472505958,0.553747323340471
validation_2017_2021,1229,2017-01-02,2021-12-30,1.178248562002409,0.1730787164287575,0.199273286233371,0.9009254571994935,-0.48196585479843135,0.7620973345989646,0.23616812716997626,0.09008074478295316,0.507822972729536,0.549227013832384
test_2022_2026,1097,2022-01-03,2026-06-30,1.8513128978492936,0.2721306941306707,0.24993579283777204,1.0891945437449018,-0.2700335975970296,1.0798926181467703,0.3708942822201444,0.10929364042091762,0.7280655374277101,0.5487693710118505
full_2007_2026,4661,2007-08-01,2026-06-30,24.317284806837442,0.19090374456274617,0.21374148011371533,0.9249380589505803,-0.4819658547984318,6.9401504405702,2.1885144993574395,0.09761563461047691,0.6623640885137779,0.5513838232139026
