research_split,rows,tickers,months,min_signal_date,max_signal_date,mean_target_1m_excess,mean_feature_count
train,28155,190,181,2007-07-31,2022-07-29,5.106513290319935e-19,9.774675901260878
validation,4422,196,23,2022-08-31,2024-06-28,-5.900099746424961e-19,9.94843962008141
test,4567,200,23,2024-07-31,2026-05-29,-1.3370323265685048e-18,9.96168162907817
