signal_date,universe_equal_weight_index,market_return,ma_200d,ret_60d,vol_60d,drawdown_120d,regime,target_exposure
2007-01-31,0.9436233462473194,-0.006857421452814068,,,,,neutral,0.8
2007-02-28,0.9781038053527917,-0.019505687756909414,,,0.1392583715527567,,neutral,0.8
2007-03-30,1.0339558469406038,0.0033720156131766496,,0.05109341216238028,0.14667098291472075,0.0,neutral,0.8
2007-04-30,1.130671787732344,0.006420392962025624,,0.1818953436766082,0.138829216050694,-0.004915817009806922,neutral,0.8
2007-05-31,1.3145242535451747,0.027995667749065502,,0.3526596476664714,0.12499494787308549,0.0,neutral,0.8
2007-06-29,1.3676681967808155,-0.001448160433583781,1.0999706900416912,0.3167418361040417,0.16017595959265502,-0.04050705514664599,bull,1.0
2007-07-31,1.5497372980389823,0.02041970538048269,1.1593080828037379,0.3493100878362567,0.19589160014683085,-0.022338575691338458,bull,1.0
2007-08-31,1.5293237705546507,0.017908920104406117,1.1992947656036896,0.1495665113720055,0.3271003365119955,-0.03521657661494637,bull,1.0
2007-09-28,1.5964915127901835,6.836763024171487e-05,1.2300592105124222,0.16730908603999617,0.32702092858936105,0.0,bull,1.0
2007-10-31,1.687103976659875,0.008607186103377773,1.2826836280490916,0.1297983150230262,0.3171640245642607,0.0,bull,1.0
2007-11-30,1.5585640110263834,0.01578596304541938,1.35082012517286,0.015817542973829646,0.26073795114227133,-0.07623527038569389,neutral,0.8
2007-12-28,1.5485675983223264,0.0018214296720173995,1.4012883885065275,-0.055400281399225815,0.24773183375679508,-0.08216016882640342,neutral,0.8
2008-01-31,1.3394904112045682,0.02131036762848006,1.4457979897876223,-0.19194414851949482,0.27876335916040756,-0.20608073279423533,stress,0.25
2008-02-29,1.4445689777271118,-0.004772557270081942,1.4718822324730336,-0.03771605273921652,0.26256661142440046,-0.14380040750426992,bear,0.5
2008-03-31,1.4233713897850342,0.000876417273918382,1.4901553403403844,-0.0604219380584311,0.25809487262916025,-0.1563642701080865,bear,0.5
2008-04-30,1.5124149368718793,0.01121288315946574,1.4992933971549938,0.12909724789429777,0.192154280077544,-0.10265850687807165,bull,1.0
2008-05-30,1.5520897499091797,0.006924547610168012,1.5002278402535507,0.09671396502060592,0.15528296760683444,-0.022951501719569944,bull,1.0
2008-06-30,1.484584661572447,-0.005800873512470191,1.5062717761863196,0.04300583264966251,0.14938615345501327,-0.04886847450647447,neutral,0.8
2008-07-31,1.4353485939740278,0.0066143653435040166,1.4870120882811844,-0.06638384667974206,0.20014147178904965,-0.08041263449704394,bear,0.5
2008-08-29,1.346202752903083,0.0017107430763202028,1.4616253862516109,-0.13253057735657447,0.20183838399506157,-0.137525860845081,bear,0.5
2008-09-30,1.3195796139236986,-0.004473922127127879,1.435634215531549,-0.05033394016285153,0.29302716392165834,-0.15458255518278707,bear,0.5
2008-10-31,0.9873212970715459,0.04959453294109751,1.3856134602934225,-0.29033385590479566,0.583140350129397,-0.36745108868277265,stress,0.25
2008-11-28,1.024001068791107,0.022605524043438057,1.3478371050147715,-0.20271547770889786,0.6692077542504347,-0.3312111381316566,stress,0.25
2008-12-30,1.1070981632649213,0.013288704291990281,1.311165312762719,-0.10938242198076276,0.6695303447343245,-0.22996104306664877,stress,0.25
2009-01-30,1.142328210324842,0.0004036503286536637,1.2851869730673102,0.15699743711905723,0.46037796707772993,-0.19819740059945068,neutral,0.8
2009-02-27,1.0765694081306088,0.01077838935405176,1.2493741117706576,0.051336215304503385,0.3461040787815174,-0.20924686422144845,stress,0.25
2009-03-31,1.2497429467632921,0.012111377663825609,1.2080302960265978,0.10475804670659339,0.3090182106939491,-0.020139531279210865,bull,1.0
2009-04-30,1.4694970198111148,0.023053293995955064,1.2019172636107334,0.2776338256510551,0.2893955406899716,0.0,bull,1.0
2009-05-29,1.5025379648153274,0.005790820754616079,1.2123362587421378,0.40926042798278717,0.23140356908695203,-0.026080076921289996,bull,1.0
2009-06-30,1.4894747563178916,0.0038503212355797825,1.2286414365288465,0.1210605502261366,0.2286624467368238,-0.03454742970232105,bull,1.0
2009-07-31,1.6131701250181458,0.014855037591815659,1.258663054441289,0.06811525134763863,0.19247702703095818,0.0,bull,1.0
2009-08-31,1.6538281337498257,-0.01180427459354048,1.3258078131249844,0.10151711738142422,0.18078487454516706,-0.013864835888773963,bull,1.0
2009-09-30,1.7329072040856788,-0.011713655376493633,1.405197063785608,0.1425786169688319,0.16377031473224493,-0.02390262007567656,bull,1.0
2009-10-30,1.6622708539630873,7.09898327475751e-05,1.4667474010038049,0.02199088886053424,0.1596003383652733,-0.06369006865891291,neutral,0.8
2009-11-30,1.6495001164324157,0.01975915937144491,1.5212328486717812,-0.014392364186895046,0.174724714359429,-0.07088346217357999,neutral,0.8
2009-12-30,1.787278290611765,0.0031970818899575526,1.589046108128687,0.0630909498776635,0.16366556350259548,-0.007775257688356962,bull,1.0
2010-01-29,1.7078710340745429,-0.022526103679337706,1.6361392050867911,0.04536760457949751,0.1615667007496576,-0.0654280520393119,bull,1.0
2010-02-26,1.7327896749299803,0.006571223157763682,1.6591071887918658,0.05049381789539087,0.14935425683797923,-0.05179220819620922,bull,1.0
2010-03-31,1.8373066259133706,-0.002647947145485042,1.691602554418064,0.019877326052141875,0.1490174123542382,-0.004145644482850375,neutral,0.8
2010-04-30,1.8773302328059864,0.004804800183512828,1.7321367458966537,0.09177049423815387,0.13360700394593322,-0.007301279755666634,bull,1.0
2010-05-31,1.8218948025622286,0.016086670349236283,1.7529066638002047,0.04304889270748791,0.15450494143287247,-0.03661454584893131,bull,1.0
2010-06-30,1.9433972370199235,0.000968108045649517,1.7783289412349006,0.0550917774988946,0.16054562376131293,-0.012562365849218327,bull,1.0
2010-07-30,2.01094805917631,-0.004922926152114421,1.8061737758709342,0.07853268785713641,0.15806067980420474,-0.006175686405598402,bull,1.0
2010-08-31,2.0474004345121717,-0.0035586376246112073,1.8441320376790902,0.10673956919652983,0.11870964243484199,-0.008851860851362803,bull,1.0
2010-09-30,2.2535996002233203,0.003948920007634459,1.889023236210698,0.16914019206048558,0.11877029358434583,0.0,bull,1.0
2010-10-29,2.279765958531774,-0.013561054648493337,1.9404742199388842,0.11964526018710941,0.12754706424725631,-0.016838086214520542,bull,1.0
2010-11-30,2.2714385422277776,0.012037171471601016,2.0014180481236044,0.08190180209359732,0.1279266178921839,-0.03734467743646741,bull,1.0
2010-12-30,2.4169494346834046,0.009305268064485473,2.067135371476495,0.06076392894079641,0.1282026046420121,0.0,bull,1.0
2011-01-31,2.4305597369637804,-0.013467841673362313,2.1318635241909227,0.046425103095407705,0.11906290106962648,-0.01997739500909468,bull,1.0
2011-02-28,2.316017751518581,-0.010836181953516622,2.1754671304414357,0.019625980831988965,0.12099873890218524,-0.06616170936668386,neutral,0.8
2011-03-31,2.5343581174604948,0.008538510212624329,2.2386521727954243,0.048577219321292775,0.1525860417157017,0.0,bull,1.0
2011-04-29,2.672908930477674,-0.0031815324997456177,2.309518575803123,0.09970921093946572,0.1574283077483708,-0.008770271637718263,bull,1.0
2011-05-31,2.6126211487053346,0.020456402639170156,2.366541553200652,0.09302657390548474,0.16453970497639436,-0.0354290781958958,bull,1.0
2011-06-30,2.6451554734206097,0.0050681214691919154,2.4224258665438745,0.034087284583405486,0.15487585382621766,-0.023417515173665082,bull,1.0
2011-07-29,2.781824122640418,-0.011013387863124882,2.479428410496917,0.03725562866679666,0.15526052314255345,-0.016819282873938746,bull,1.0
2011-08-31,2.52850320149501,0.02000096945286987,2.500032823841205,-0.022273601801707232,0.2716439484262766,-0.10688693985915576,neutral,0.8
2011-09-30,2.3010241247912915,0.0031727293933989605,2.5080094382975524,-0.1521992570676972,0.3570805158772939,-0.1872366638352806,stress,0.25
2011-10-31,2.506417063313233,-0.012777744443007515,2.507497947240718,-0.09616429362779988,0.3895681512095972,-0.11468816330493092,bear,0.5
2011-11-30,2.435729048875683,-0.0012900590910105809,2.5070111659435463,-0.028815672146884186,0.3443532479571971,-0.1396564484359416,neutral,0.8
2011-12-29,2.4327809153056115,0.0022380676417019965,2.5186295471120492,0.09087553702051632,0.25161871598112956,-0.14069778253150989,neutral,0.8
2012-01-31,2.598625116068643,0.012780363100707579,2.520915247170145,0.059801593436291656,0.22488376646901204,0.0,bull,1.0
2012-02-29,2.6636243955969134,0.009258972015994477,2.5217864345692327,0.060276993592831785,0.16306693503606626,-0.005523148450917392,bull,1.0
2012-03-30,2.603186897288067,0.0032383535630671344,2.529955411626941,0.05088643821888672,0.11091202154883763,-0.02827022063151763,bull,1.0
2012-04-30,2.488044107612747,-0.00048040791704281844,2.5200603411763676,-0.05890115233330129,0.1022314252849835,-0.07125125965089496,bear,0.5
2012-05-31,2.379980274752765,0.0017131776250285018,2.4896562455040607,-0.10453148643010268,0.1329936300539613,-0.11158983256401855,bear,0.5
2012-06-29,2.449405982813357,0.017165731748442714,2.486143776756297,-0.06111037990838186,0.1647045975967983,-0.08567427957529516,bear,0.5
2012-07-31,2.4249827499288723,0.016139499702120832,2.4969622912938623,-0.045297062241097974,0.17705548662024054,-0.09479109816677989,bear,0.5
2012-08-31,2.5457406895885795,-0.000984711737342019,2.501995022027958,0.07160048343795755,0.13831800126005434,-0.04898497396023571,bull,1.0
2012-09-28,2.7069942434001497,0.004963351701598804,2.520286380148249,0.09116937455881757,0.14382711046502733,-0.0031324400593858437,bull,1.0
2012-10-31,2.6100946454078864,0.008113047119936575,2.5409558424722385,0.08404477946159705,0.12159096715405587,-0.03881632303966265,bull,1.0
