factor,target,months,mean_rank_ic,median_rank_ic,positive_ic_rate,mean_n
composite_score,excess_forward_1m_return,227,0.0233459449159535,0.022696356948216968,0.5682819383259912,163.62995594713655
quality_score,excess_forward_1m_return,219,0.017044965364422147,0.01435030318220817,0.5570776255707762,163.78538812785388
value_score,excess_forward_1m_return,219,0.008441447303296353,0.006497645737444156,0.5251141552511416,163.78538812785388
low_volatility_score,excess_forward_1m_return,227,0.0031298516121913153,-0.006694329042164927,0.4977973568281938,163.62995594713655
momentum_score,excess_forward_1m_return,227,0.0026605099048731405,0.02437928884802874,0.5374449339207048,163.62995594713655
