strategy_id,strategy_name,category,period,start_date,end_date,days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,win_rate,benchmark_total_return,active_total_return,tracking_error,information_ratio
deep_value,Deep Value,valuation,train_2007_2016,2007-08-01,2016-12-29,2335,3.2710324290076986,0.16963119690641615,0.22554085248136954,0.7521085206522764,-0.4555181840415776,0.5477516059957174,1.1664961579396702,0.9714008784901029,0.08607905787805432,0.9019771586695783
deep_value,Deep Value,valuation,validation_2017_2021,2017-01-02,2021-12-30,1229,0.9075559452743327,0.14159062888147855,0.22659246123919033,0.6248691068853165,-0.6460310379457339,0.5459723352318958,0.7620973345989834,0.08254856744814987,0.08014594530024745,0.3053177512820376
deep_value,Deep Value,valuation,test_2022_2026,2022-01-03,2026-06-30,1097,0.8241549135754669,0.14807542778105454,0.23398315925562102,0.632846518750034,-0.23319480962833505,0.5323609845031905,1.0798926181467858,-0.1229571672787535,0.08423088201447786,-0.3201778912906323
deep_value,Deep Value,valuation,full_2007_2026,2007-08-01,2026-06-30,4661,13.8618156606426,0.15709449890671667,0.22783227602904302,0.689518191385188,-0.6460310379457332,0.5436601587642137,6.9401504405704895,0.8717297325634548,0.08415895267507993,0.46341466521569125
quality_compounder,Quality Compounder,fundamental,train_2007_2016,2007-08-01,2016-12-29,2335,1.6553969505787078,0.11115152239591009,0.20847568994513588,0.5331629909710892,-0.5040510980712658,0.539186295503212,1.1664961579396702,0.22566427863134564,0.07887362193807963,0.28626110992050713
quality_compounder,Quality Compounder,fundamental,validation_2017_2021,2017-01-02,2021-12-30,1229,0.7806203460100289,0.1255851026237753,0.1821507007592371,0.6894571478468865,-0.4696969569743469,0.5614320585842149,0.7620973345989834,0.010511911599514923,0.06739112070982606,0.01709884179977654
quality_compounder,Quality Compounder,fundamental,test_2022_2026,2022-01-03,2026-06-30,1097,1.490723502517013,0.23322656733083558,0.23257407171199498,1.0028055389581372,-0.28484038262893707,0.536918869644485,1.0798926181467858,0.19752504566138773,0.07945728269828888,0.557161096851784
quality_compounder,Quality Compounder,fundamental,full_2007_2026,2007-08-01,2026-06-30,4661,10.776772957516313,0.14263029484962342,0.20799133549002638,0.685751137246113,-0.5040510980712658,0.5445183437030681,6.9401504405704895,0.4831926731945102,0.07616347205505328,0.2893020060414752
earnings_growth,Earnings Growth,fundamental,train_2007_2016,2007-08-01,2016-12-29,2335,1.9100442213561046,0.122187416717366,0.2272431043084216,0.5376947172466423,-0.5165659742081896,0.5404710920770878,1.1664961579396702,0.3432030380905664,0.07526915561504537,0.4860632227751438
earnings_growth,Earnings Growth,fundamental,validation_2017_2021,2017-01-02,2021-12-30,1229,1.1359237072262278,0.16836846202113653,0.20599371663802227,0.8173475617074192,-0.5025458242989382,0.5720097640358015,0.7620973345989834,0.2121485375904728,0.06372081862725731,0.6775649983081077
earnings_growth,Earnings Growth,fundamental,test_2022_2026,2022-01-03,2026-06-30,1097,1.3810853449092542,0.22053930303633962,0.22729995084213975,0.9702567124156775,-0.20966037524155612,0.5432999088422972,1.0798926181467858,0.1448116715904475,0.07560978869275001,0.4331179314260918
earnings_growth,Earnings Growth,fundamental,full_2007_2026,2007-08-01,2026-06-30,4661,13.799951315729638,0.15683357412996957,0.22186179145305238,0.706897628035951,-0.5165659742081896,0.5494529071014803,6.9401504405704895,0.8639384009789972,0.07248702620822525,0.5162281183546197
price_momentum,Price Momentum,price,train_2007_2016,2007-08-01,2016-12-29,2335,2.419862428107418,0.1419097132146725,0.22388519160438355,0.6338503774980979,-0.5191356762744397,0.5310492505353319,1.1664961579396702,0.5785222676599133,0.12543537585273604,0.4245403948661423
