ticker,fiscal_year,company_name,fiscal_period,employee_compensation,employee_cash_outflow,dividend_paid_cf,dividend_paid_alt,share_buyback,cash_dividend,value_added,labor_share_reported,source_file,fiscal_month,is_financial_name,employee_comp_trn,employee_cash_outflow_trn,value_added_trn,dividend_paid_trn,dividend_paid_alt_trn,cash_dividend_trn,share_buyback_trn,dividend_trn,shareholder_payout_trn,labor_share_bottom_up,shareholder_payout_to_va,dividend_to_va,buyback_to_va,analysis_sample
000020,2009,동화약품(주),2009/12,0.0,0.0,0.0,0.0,0.0,2793123.0,12269.91,0.0,kospi07-11.xlsx,12,False,0.0,0.0,0.01226991,0.0,0.0,0.002793123,0.0,0.002793123,0.002793123,0.0,0.22764005603953083,0.22764005603953083,0.0,False
000020,2010,동화약품(주),2010/12,52577705.0,0.0,0.0,0.0,0.0,2793123.0,79098.99,66.47,kospi07-11.xlsx,12,False,0.052577705,0.0,0.07909899000000001,0.0,0.0,0.002793123,0.0,0.002793123,0.002793123,0.6647076656731015,0.03531174039011117,0.03531174039011117,0.0,True
000020,2011,동화약품(주),2011/12,51399917.0,0.0,0.0,0.0,0.0,2793123.0,83977.76,61.21,kospi07-11.xlsx,12,False,0.051399917,0.0,0.08397776,0.0,0.0,0.002793123,0.0,0.002793123,0.002793123,0.6120658255233291,0.033260270338241936,0.033260270338241936,0.0,True
000020,2012,동화약품(주),2012/12,54317016.0,0.0,0.0,0.0,0.0,2234498.0,74627.02,72.78,kospi12-16.xlsx,12,False,0.054317016,0.0,0.07462702,0.0,0.0,0.002234498,0.0,0.002234498,0.002234498,0.727846509213419,0.029942211279507074,0.029942211279507074,0.0,True
000020,2013,동화약품(주),2013/12,51737325.0,0.0,0.0,0.0,0.0,1955186.0,64245.14,80.53,kospi12-16.xlsx,12,False,0.051737325,0.0,0.06424514,0.0,0.0,0.001955186,0.0,0.001955186,0.001955186,0.8053111099143063,0.030433212535609693,0.030433212535609693,0.0,True
000020,2014,동화약품(주),2014/12,47763293.0,0.0,0.0,0.0,0.0,2234498.0,64732.62,73.79,kospi12-16.xlsx,12,False,0.047763293,0.0,0.06473262,0.0,0.0,0.002234498,0.0,0.002234498,0.002234498,0.7378550875895336,0.03451888707733443,0.03451888707733443,0.0,True
000020,2015,동화약품(주),2015/12,49310725.0,0.0,0.0,0.0,2354408.0,2213178.0,66111.12,74.59,kospi12-16.xlsx,12,False,0.049310725,0.0,0.06611112,0.0,0.0,0.002213178,0.002354408,0.002213178,0.004567586,0.7458764123191379,0.06908952684510564,0.03347663751574622,0.03561288932935942,True
000020,2016,동화약품(주),2016/12,50910162.0,0.0,0.0,0.0,0.0,3043120.0,96940.32,52.52,kospi12-16.xlsx,12,False,0.050910162,0.0,0.09694032000000001,0.0,0.0,0.00304312,0.0,0.00304312,0.00304312,0.5251701459207067,0.031391685111004375,0.031391685111004375,0.0,True
000020,2017,동화약품(주),2017/12,52742066.0,0.0,0.0,0.0,876513.0,4141160.0,127875.06,41.24,kospi 17-21.xlsx,12,False,0.052742066,0.0,0.12787505999999998,0.0,0.0,0.00414116,0.000876513,0.00414116,0.005017672999999999,0.4124499804731275,0.03923887112936643,0.03238442273262668,0.006854448396739756,True
000020,2018,동화약품(주),2018/12,58245186.0,0.0,0.0,0.0,0.0,3312928.0,81979.87,71.05,kospi 17-21.xlsx,12,False,0.058245186,0.0,0.08197987,0.0,0.0,0.003312928,0.0,0.003312928,0.003312928,0.7104815609002552,0.040411481501495435,0.040411481501495435,0.0,True
000020,2019,동화약품(주),2019/12,61217806.0,0.0,0.0,0.0,0.0,3312928.0,87713.32,69.79,kospi 17-21.xlsx,12,False,0.061217806,0.0,0.08771332000000001,0.0,0.0,0.003312928,0.0,0.003312928,0.003312928,0.6979305537631,0.03776995329785715,0.03776995329785715,0.0,True
000020,2020,동화약품(주),2020/12,64220486.0,0.0,0.0,0.0,0.0,4969391.0,106296.76,60.42,kospi 17-21.xlsx,12,False,0.064220486,0.0,0.10629675999999999,0.0,0.0,0.004969391,0.0,0.004969391,0.004969391,0.604162215292357,0.04675016435119942,0.04675016435119942,0.0,True
000020,2021,동화약품(주),2021/12,67266402.0,0.0,0.0,0.0,0.0,4982243.0,97676.32,68.87,kospi 17-21.xlsx,12,False,0.067266402,0.0,0.09767632000000001,0.0,0.0,0.004982243,0.0,0.004982243,0.004982243,0.6886664239602802,0.05100768538372452,0.05100768538372452,0.0,True
000020,2022,동화약품(주),2022/12,71080865.0,0.0,0.0,0.0,0.0,4982243.0,100610.36,70.65,kospi22-26.xlsx,12,False,0.071080865,0.0,0.10061036,0.0,0.0,0.004982243,0.0,0.004982243,0.004982243,0.7064964780962915,0.04952017863766714,0.04952017863766714,0.0,True
000020,2023,동화약품(주),2023/12,75068130.0,0.0,0.0,0.0,0.0,4989228.0,115828.74,64.81,kospi22-26.xlsx,12,False,0.07506813,0.0,0.11582874,0.0,0.0,0.004989228,0.0,0.004989228,0.004989228,0.6480958870829467,0.04307418003511046,0.04307418003511046,0.0,True
000020,2024,동화약품(주),2024/12,78499447.0,0.0,0.0,0.0,0.0,4989227.0,103639.1,75.74,kospi22-26.xlsx,12,False,0.078499447,0.0,0.10363910000000001,0.0,0.0,0.004989227,0.0,0.004989227,0.004989227,0.7574308055550463,0.04814039295979991,0.04814039295979991,0.0,True
000020,2025,동화약품(주),2025/12,88264983.0,0.0,0.0,0.0,0.0,1801665.0,112534.19,78.43,kospi22-26.xlsx,12,False,0.088264983,0.0,0.11253419,0.0,0.0,0.001801665,0.0,0.001801665,0.001801665,0.7843392572515073,0.016009934403046752,0.016009934403046752,0.0,True
000030,2007,(주)우리은행,2007/12,,,,,,,,,kospi07-11.xlsx,12,True,,,,,,,,0.0,0.0,,,,,False
000030,2008,(주)우리은행,2008/12,,,,,,,,,kospi07-11.xlsx,12,True,,,,,,,,0.0,0.0,,,,,False
000030,2009,(주)우리은행,2009/12,,,,,,,,,kospi07-11.xlsx,12,True,,,,,,,,0.0,0.0,,,,,False
000030,2010,(주)우리은행,2010/12,0.0,0.0,0.0,0.0,0.0,387725000.0,3096986.0,38.15,kospi07-11.xlsx,12,True,0.0,0.0,3.096986,0.0,0.0,0.387725,0.0,0.387725,0.387725,0.0,0.12519430181473212,0.12519430181473212,0.0,False
000030,2011,(주)우리은행,2011/12,0.0,0.0,0.0,0.0,0.0,479053000.0,4305697.0,32.53,kospi07-11.xlsx,12,True,0.0,0.0,4.305697,0.0,0.0,0.479053,0.0,0.479053,0.479053,0.0,0.11126026750140569,0.11126026750140569,0.0,False
000030,2012,(주)우리은행,2012/12,0.0,0.0,0.0,0.0,0.0,173306000.0,3563223.0,41.73,kospi12-16.xlsx,12,True,0.0,0.0,3.563223,0.0,0.0,0.173306,0.0,0.173306,0.173306,0.0,0.048637427407714866,0.048637427407714866,0.0,False
000030,2013,(주)우리은행,2013/12,0.0,0.0,0.0,0.0,0.0,164000000.0,2354409.0,63.74,kospi12-16.xlsx,12,True,0.0,0.0,2.354409,0.0,0.0,0.164,0.0,0.164,0.164,0.0,0.0696565465048766,0.0696565465048766,0.0,False
000030,2014,(주)우리은행,2014/12,0.0,0.0,0.0,0.0,0.0,336635000.0,2830986.0,54.75,kospi12-16.xlsx,12,True,0.0,0.0,2.830986,0.0,0.0,0.336635,0.0,0.336635,0.336635,0.0,0.11891086709718807,0.11891086709718807,0.0,False
000030,2015,(주)우리은행,2015/12,0.0,0.0,0.0,0.0,0.0,168317000.0,3359021.0,48.86,kospi12-16.xlsx,12,True,0.0,0.0,3.359021,0.0,0.0,0.168317,0.0,0.168317,0.168317,0.0,0.05010894543380348,0.05010894543380348,0.0,False
