date,strategy_return,benchmark_return
2007-08-01,-0.03703327779988557,-0.03643095224119261
2007-08-02,-0.0009219274460394501,0.0002015397283478828
2007-08-03,0.009951366274558024,0.013423238263559702
2007-08-06,-0.0016597021117865497,-0.008682378602108192
2007-08-07,-0.00012983701275213967,0.004763812194264344
2007-08-08,0.02033730778433166,0.02269312120052392
2007-08-09,-0.002313870827508384,-0.0021614571434750173
2007-08-10,-0.03985508660204236,-0.03910414123459902
2007-08-13,0.00043552076808054784,0.007198620152713383
2007-08-14,-0.02868599059838846,-0.020972855741297487
2007-08-16,-0.08408847484674319,-0.08042963321849064
2007-08-17,-0.03356264827407626,-0.028627330192810867
2007-08-20,0.0617724710685234,0.06266918331342224
2007-08-21,0.004785646763460212,0.0010319832401542435
2007-08-22,0.01433176746722314,0.020865431644906486
2007-08-23,0.03999054447347746,0.0248684884032237
2007-08-24,0.0010298780850764415,-0.004163283667926714
2007-08-27,0.008024649651241582,0.008433260905896973
2007-08-28,0.025734977072145268,0.01565750154345597
2007-08-29,0.018332322225893,0.004663382178756208
2007-08-30,0.007867675463898072,0.011686467449657689
2007-08-31,0.016099494261425876,0.017908920104406117
2007-09-03,0.009999652688032327,0.0032507568559707986
2007-09-04,-0.005259048492774257,-0.0014053450494219508
2007-09-05,-0.007953172780702952,-0.00967527615851972
2007-09-06,0.015174841923625641,0.011900030614314395
2007-09-07,0.00012237601322000777,-0.003798505376840744
2007-09-10,-0.024036473248127847,-0.02607718021351028
2007-09-11,0.00935435854945106,0.004609840983519273
2007-09-12,-0.01757724980704721,-0.017044216753924014
2007-09-13,0.02452342258855129,0.019670028276752554
2007-09-14,0.017863544715898287,0.015037227550627839
2007-09-17,0.004021542254638107,0.004834037173905715
2007-09-18,-0.014295495086776947,-0.014334602195525648
2007-09-19,0.02468178209490466,0.03084855559031341
2007-09-20,0.008511735620980255,0.003267962191899447
2007-09-21,0.020338887452040832,0.01038197231846956
2007-09-27,0.009118519749277812,0.01311211101498228
2007-09-28,-0.002513955899072051,6.836763024171487e-05
2007-10-01,0.004353904726013028,0.0076161441808828495
2007-10-02,0.025587274538617054,0.019108971496617413
2007-10-04,0.014294982126802861,0.0006628036496024481
2007-10-05,0.004720927308695903,7.099784510507798e-05
2007-10-08,0.007876036413081317,0.00494643283924168
2007-10-09,-0.005671277210966558,-0.001930068324748065
2007-10-10,0.015974627629860624,0.009873084099406482
2007-10-11,0.0194171323405878,0.010186295124760084
2007-10-12,-0.01713829462836409,-0.02045714594203314
2007-10-15,0.01472355732922398,0.010590150928872664
2007-10-16,-0.004723866080838487,-0.01432852473648926
2007-10-17,-0.01780009650677717,-0.012373233149262962
2007-10-18,0.004934640737736258,0.011432503973494205
2007-10-19,-0.00848400886881776,-0.012002508667976305
2007-10-22,-0.035155579095743794,-0.029831186336739014
2007-10-23,0.028041461949101516,0.022880345180451702
2007-10-24,-0.008056506860948979,-0.012921797000143261
2007-10-25,0.025330745601275767,0.020908558033212832
2007-10-26,0.02190658444634399,0.02336467814917784
2007-10-29,0.010309906712655028,0.012446806100191448
2007-10-30,-0.004021275954876436,-0.0013410169080894702
2007-10-31,0.006091995066406556,0.008607186103377773
2007-11-01,0.00206712818788376,4.931846631592454e-05
2007-11-02,-0.011967490490988764,-0.01749456333846194
2007-11-05,-0.006871563884709611,0.004024671933099119
2007-11-06,0.026721858624290145,0.012676177148068134
2007-11-07,-0.012262378602416078,-0.012255124401551288
2007-11-08,-0.024711452662031307,-0.027370504680237568
2007-11-09,0.005178661832481895,0.012566611352943154
2007-11-12,-0.05245056845387428,-0.030974333285473093
2007-11-13,-0.006941298018924042,-0.000817519539729895
2007-11-14,0.0020064544938475336,0.015595193580813151
2007-11-15,-0.02982869823314045,-0.0174609337173593
2007-11-16,-0.00245142229528521,-0.009419668257933061
2007-11-19,-0.011032362114748735,-0.0066787771653387396
2007-11-20,-0.011882444583997176,-0.007869916193762169
2007-11-21,-0.03539369021262514,-0.03548984793624888
2007-11-22,-0.008157361374735245,-0.0048264410901867425
2007-11-23,-0.028647499360250017,-0.024124247283890465
2007-11-26,0.05817687700324829,0.04444839083164722
2007-11-27,0.016565176147205287,0.004431818910989927
2007-11-28,-0.016195570009419413,-0.012129955368796871
2007-11-29,0.017826528315393327,0.02208589144508696
2007-11-30,0.029221691794523802,0.01578596304541938
2007-12-03,-0.0012452202369738574,0.0008151283852425972
2007-12-04,0.004746001144727131,0.007144537867537805
2007-12-05,0.007410316138122888,0.008386372701267188
2007-12-06,-0.0046425952696817485,0.002774852644594556
2007-12-07,-0.01316158166218804,-0.01294313919037008
2007-12-10,-0.020913311841193674,-0.013802556250333097
2007-12-11,0.003178357571099839,0.006315581819507822
2007-12-12,0.004986914059225825,0.0016364769670767214
2007-12-13,-0.008135261217229229,-0.006249346578474189
2007-12-14,-0.007361625026629401,-0.002404648166296218
2007-12-17,-0.033028139247848406,-0.02820119590954248
2007-12-18,0.01314445825429076,0.012209284086081398
2007-12-20,-0.013851599423852435,-0.012324877379371404
2007-12-21,0.012680033011955756,0.0147278032498094
2007-12-24,0.020154741561076824,0.017795354241766325
2007-12-26,-0.005916593666618893,-0.004762562361045433
2007-12-27,-0.0014716515250616502,0.0017501208798007333
2007-12-28,3.898906578643571e-05,0.0018214296720173995
2008-01-02,-0.01540246240119847,-0.02173797245883915
2008-01-03,-0.0004122882391932026,0.0034863731238888424
2008-01-04,0.004863627167146464,0.006778343030491327
2008-01-07,-0.017619698471935508,-0.013643511104662621
2008-01-08,0.006187822117675216,0.002057226741223471
2008-01-09,0.008891761807957822,0.009750990414392051
2008-01-10,-0.0040193179266156415,-0.009134261433615374
2008-01-11,-0.026893724387655134,-0.024305565329599443
2008-01-14,-0.015903002320194592,-0.01051870545862837
2008-01-15,-0.00577626692833797,-0.012738904926227746
2008-01-16,-0.02069723581583461,-0.024368983615117804
2008-01-17,0.0023036932118372993,-0.0001310740168291714
2008-01-18,0.018231241543737627,0.012843361923879647
2008-01-21,-0.029299486390541703,-0.028798681425075294
2008-01-22,-0.04436089719088299,-0.04299141458660454
2008-01-23,0.003952792270262711,0.009035084758415904
2008-01-24,0.024396276527611276,0.02232351355495053
2008-01-25,0.01648659301645179,0.02129634477216949
2008-01-28,-0.035944403607188743,-0.03597141261186289
2008-01-29,0.003557278354695793,0.00584473197225955
2008-01-30,-0.02874837654511091,-0.030877037203159995
2008-01-31,0.025936261500626348,0.02131036762848006
2008-02-01,0.016216569904520212,0.006374271927479395
2008-02-04,0.063280407593614,0.03249459600361084
2008-02-05,0.01302514243464304,0.006629259100009772
2008-02-11,-0.0323071046366058,-0.02661480188157939
2008-02-12,0.009260675571455374,0.004033138597416477
2008-02-13,-0.0047364780241261305,-0.007564970980914962
2008-02-14,0.056183731890301285,0.0365464384160478
2008-02-15,0.015408796539373912,-0.00021185703353791157
2008-02-18,3.0504033591202348e-05,-0.0006743580435460909
2008-02-19,0.02060140466789348,0.016008940184456987
2008-02-20,-0.025122643662727418,-0.012634729485254348
2008-02-21,0.00930477790063778,0.006487641732385777
2008-02-22,-0.012882602907493214,-0.01112559494312302
2008-02-25,0.013964870588744897,0.013920121302259721
2008-02-26,0.013948903023600261,0.0017059988247578486
2008-02-27,0.007778770146889785,0.006039604981934797
2008-02-28,0.012990188268879056,0.010966510138682297
2008-02-29,-0.0054903191613011534,-0.004772557270081942
2008-03-03,-0.025372144366589328,-0.020317899803398407
2008-03-04,0.007551979549668913,0.00728886148137128
2008-03-05,0.0024763487507938925,0.005420722876662199
2008-03-06,0.021019350677397984,0.011441939654733637
2008-03-07,-0.015265354674384538,-0.017959862160321367
2008-03-10,-0.030219471477673704,-0.023808645515330944
2008-03-11,0.01110608484733553,0.010653619760011517
2008-03-12,0.007960651770844752,0.005420078614811819
2008-03-13,-0.020111650706474856,-0.020394048774912604
2008-03-14,-0.012006623661371644,-0.007497023850394646
2008-03-17,-0.014829538019765465,-0.016199737317462184
2008-03-18,0.010313855759748459,0.007050593122619686
2008-03-19,0.02102741959187832,0.012772440213051333
2008-03-20,-0.000653665459363613,-0.0035897041147817943
2008-03-21,0.005393327753234637,0.010194446867153702
2008-03-24,0.008351609725039925,0.005419936315300296
2008-03-25,0.008745272376726664,0.004884514361314866
2008-03-26,0.0021478823551926212,0.0018396061601889757
2008-03-27,0.0018981155935986968,0.0008817544912325178
2008-03-28,0.010493711458814187,0.012316420717321782
2008-03-31,-0.0062263570863220945,0.000876417273918382
2008-04-01,-0.019819585145630973,-0.005833710054188245
2008-04-02,0.0038589099648597067,0.012923789705435576
2008-04-03,0.008502197785409338,0.0075998691674010925
2008-04-04,0.007875026800137375,0.004412649159296217
2008-04-07,0.013646654833397302,0.009516673576326391
2008-04-08,-0.0092957590925088,-0.007022657939575338
2008-04-10,0.0007632168415892208,0.00687755235631896
2008-04-11,-0.002555574903850888,0.003194057139906118
2008-04-14,-0.034042389348272944,-0.018680786373013018
2008-04-15,-0.004749580787638271,-0.0005754934337488697
2008-04-16,0.0214624431866367,0.01533559981194357
2008-04-17,0.007876200246118126,0.003605393854493686
2008-04-18,0.011933564520272898,0.007514792913906991
2008-04-21,0.015859180370737712,0.011840394053089691
2008-04-22,-0.006655711626124474,-0.005146784304132182
2008-04-23,0.02548128922828303,0.012542236714894668
2008-04-24,-0.007304059517790615,-0.0021748449382205416
2008-04-25,-0.0008832289817694611,0.008354348018612739
2008-04-28,-0.008027283596357987,-0.009051876151855138
2008-04-29,-0.004657959424884088,-0.00488661928410718
2008-04-30,0.011485359100064334,0.01121288315946574
2008-05-02,0.004645946556802427,0.010304372246540846
2008-05-06,0.007852219921647087,0.006157203067902449
2008-05-07,-0.013075655845037224,-0.006019216256887795
2008-05-08,0.0031213932399148936,-0.0005190139611846266
2008-05-09,-0.015235338855702801,-0.010957777305653034
2008-05-13,0.0069052588907256955,0.007910428099746288
2008-05-14,0.007622266347449572,-0.0006346281542858359
2008-05-15,0.020171572949521707,0.01820548259140284
2008-05-16,0.012161164052550157,0.003825624542339708
2008-05-19,-0.00619323633509317,0.003617117204751469
2008-05-20,0.002856064003112665,-0.001645190892483893
2008-05-21,-0.011149219886342475,-0.01040349275938676
2008-05-22,-0.002890844782231842,-0.00676679497087947
2008-05-23,-3.863871449655222e-05,-0.0009524529338274254
2008-05-26,-0.01858813023335471,-0.013375211586048001
2008-05-27,0.00930909489208975,0.011219639545075877
2008-05-28,-0.01479073639033136,-0.005989895725529406
2008-05-29,0.014404828567312455,0.01574977833370259
2008-05-30,0.008269593399766833,0.006924547610168012
2008-06-02,-0.002296780874465214,-0.0005869466148175816
2008-06-03,-0.009891571068619669,-0.010480668014408698
2008-06-04,0.009965702709260638,0.011044258762436037
2008-06-05,-0.0049502796321739305,0.0018538064546749357
2008-06-09,-0.007410006736528534,-0.006156212696853153
2008-06-10,-0.019395867692485996,-0.018628966961464374
2008-06-11,0.009503710481693194,0.009322133347011095
2008-06-12,-0.01312810926186565,-0.019782706498805015
2008-06-13,0.007827440128406667,0.011423652448723664
2008-06-16,-4.292099785501162e-05,0.0016226460895729217
2008-06-17,-0.011223819479128275,-0.008880844591803086
2008-06-18,0.013754567102482155,0.016445498525497405
2008-06-19,-0.01179080236222542,-0.011967555170815011
2008-06-20,-0.0017891122572638765,-2.368602176099301e-05
2008-06-23,-0.0035564221948459797,-0.0029591419358807173
2008-06-24,-0.0011485746985424373,-0.001899105838905021
2008-06-25,0.0073754221796930005,0.0058237408555629495
2008-06-26,-0.0007212999630823964,-0.0005487654382870082
2008-06-27,-0.010268642176533945,-0.013292559772159889
2008-06-30,-0.004562148770682453,-0.005800873512470191
2008-07-01,-0.013707032712837531,-0.010463569954009103
2008-07-02,-0.037618550951726414,-0.02876681208679613
2008-07-03,-0.012097629274663586,-0.009999788850405972
2008-07-04,-0.026326836844502047,-0.016285388026742644
2008-07-07,-0.00557348086586635,-0.005289229122717669
2008-07-08,-0.023588007001890725,-0.028857108136723583
2008-07-09,-0.0013708245097033718,-0.007410638964485533
2008-07-10,0.015713911838866914,0.019970246224959375
2008-07-11,0.029366233089002932,0.01920700004245117
2008-07-14,-0.0016949529537668624,-0.005770631784114944
2008-07-15,-0.029453365333543476,-0.030153167027992304
2008-07-16,0.008762149370426324,0.004136032535105246
2008-07-17,0.006112190978767826,0.01124589494746261
2008-07-18,-0.010903676705892313,-0.0070233005016320516
2008-07-21,0.025257849735426798,0.030610815320241347
2008-07-22,-0.0010664440597827711,-0.00015001443803482016
2008-07-23,0.01285344811964695,0.018115204194601598
2008-07-24,0.021207734801379552,0.017664665623147793
2008-07-25,-0.006089155355567743,-0.007912537672255174
2008-07-28,0.0045879025653873945,0.006570868752118821
2008-07-29,-0.008502501151947691,-0.013891009010803613
2008-07-30,0.01272014557949368,0.007167246922887037
2008-07-31,0.00776197947535305,0.0066143653435040166
2008-08-01,-0.011388302745401766,-0.012544998913773945
2008-08-04,-0.01762021668792282,-0.01812447635592599
2008-08-05,-0.01559913690500023,-0.0002917358049391191
2008-08-06,0.02305096771763881,0.022893307333715772
2008-08-07,-0.007548654601522953,-0.006942441052369655
2008-08-08,0.0062805772919725805,0.004134916178930896
2008-08-11,-0.007872774004109611,0.003973377205614792
2008-08-12,0.0016754947546845844,-0.00453174371898056
2008-08-13,-0.006079381162222194,-0.005587870056053244
2008-08-14,0.012496535798846752,0.009841732079396771
2008-08-18,-0.006745961296624656,-0.005331181778798827
2008-08-19,-0.010859312252343267,-0.014131818281356373
2008-08-20,-0.0013276832066719925,-0.0006934648417439628
2008-08-21,-0.01578183894560022,-0.016659089455147436
2008-08-22,-0.008984232453143913,-0.009075054531216027
2008-08-25,-0.005593083909412147,-0.0002261092307939412
2008-08-26,-0.011324003769293304,-0.005927594770062833
2008-08-27,0.008815477068244463,0.005217119325414619
2008-08-28,-0.011129774893418274,-0.010816367460690798
2008-08-29,0.00026380186669191206,0.0017107430763202028
2008-09-01,-0.0520644648791662,-0.04534575123894396
2008-09-02,-0.02856736437664361,-0.017777493385548435
2008-09-03,0.02857579579133301,0.017467653362485732
2008-09-04,0.007051861506767015,0.005057372067727728
2008-09-05,-0.0063151634363499114,-0.011833591703819356
2008-09-08,0.04976294420165163,0.04273885721863799
2008-09-09,-0.012643866932305868,-0.013260111953527099
2008-09-10,0.0035907184672674406,0.010815031856690156
2008-09-11,-0.011279785003142497,-0.009173711623659191
2008-09-12,0.038534900594663045,0.025920287457133845
2008-09-16,-0.08018484087623598,-0.0634932953865586
2008-09-17,0.03693596853815814,0.02946620945303311
2008-09-18,-0.020518038554359977,-0.021907113688411518
