ticker,signal_date,return_6m,return_12m_ex_1m,return_6m_momentum_z,return_12m_ex_1m_momentum_z,momentum_score,volatility_1y,max_drawdown_1y,volatility_1y_low_volatility_z,max_drawdown_1y_low_volatility_z,low_volatility_score,composite_score,composite_weight_coverage,factor_scope
010950,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011070,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011170,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011200,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011210,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011780,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
011790,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
012330,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
012450,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
012750,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
014680,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
014820,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
015760,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
016360,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
017670,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
017800,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
017960,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
018260,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
018880,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
021240,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
022100,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
023530,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
024110,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
026960,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
028050,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
028260,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
028670,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
