ticker,signal_date,return_6m,return_12m_ex_1m,momentum_score,volatility_1y,max_drawdown_1y,low_volatility_score,name,available_date,fiscal_period,value_score,quality_score,composite_score,composite_weight_coverage,factor_scope
086790,2023-01-31,,,,,,,(주)하나금융지주,2022-03-31,2021-12,0.4405702457824274,0.2487010947949696,0.335914345243814,0.55,integrated_value_quality_momentum_low_volatility
175330,2023-01-31,,,,,,,(주)JB금융지주,2022-03-31,2021-12,0.4034942087867599,0.2729111954442137,0.3322671105999165,0.55,integrated_value_quality_momentum_low_volatility
000670,2023-01-31,,,,,,,(주)영풍,2022-03-31,2021-12,0.4180795101174711,0.2585709852262823,0.33107486017682264,0.55,integrated_value_quality_momentum_low_volatility
010950,2023-01-31,,,,,,,에쓰-오일(주),2022-03-31,2021-12,0.261057033506784,0.3876674313217392,0.33011725049675955,0.55,integrated_value_quality_momentum_low_volatility
001680,2023-01-31,,,,,,,대상(주),2022-03-31,2021-12,0.4871841144334934,0.1988045659184979,0.3298861788798595,0.55,integrated_value_quality_momentum_low_volatility
139480,2023-01-31,,,,,,,(주)이마트,2022-03-31,2021-12,0.5645249151319892,0.1327465719835129,0.3290094552328203,0.55,integrated_value_quality_momentum_low_volatility
034220,2023-01-31,,,,,,,엘지디스플레이(주),2022-03-31,2021-12,0.3661010517794592,0.2940851596407742,0.3268196560674491,0.55,integrated_value_quality_momentum_low_volatility
139130,2023-01-31,,,,,,,(주)아이엠금융지주,2022-03-31,2021-12,0.5019034398760585,0.1645942765373788,0.3179166235095059,0.55,integrated_value_quality_momentum_low_volatility
078930,2023-01-31,,,,,,,(주)지에스,2022-03-31,2021-12,0.4333677654240235,0.2159834810407056,0.3147945193967592,0.55,integrated_value_quality_momentum_low_volatility
004170,2023-01-31,,,,,,,(주)신세계,2022-03-31,2021-12,0.4507332489569812,0.1999071990594649,0.3139190399219723,0.55,integrated_value_quality_momentum_low_volatility
086280,2023-01-31,,,,,,,현대글로비스(주),2022-03-31,2021-12,0.2740912504167971,0.3418302765004865,0.31103981009880943,0.55,integrated_value_quality_momentum_low_volatility
280360,2023-01-31,,,,,,,롯데웰푸드(주),2022-03-31,2021-12,0.348107412409622,0.2751490282207126,0.30831193012476227,0.55,integrated_value_quality_momentum_low_volatility
055550,2023-01-31,,,,,,,(주)신한금융지주회사,2022-03-31,2021-12,0.40716526307836,0.2236002390511429,0.30703888633624155,0.55,integrated_value_quality_momentum_low_volatility
