rank,ticker,name,sector_model,sector_source,signal_date,date,rating,current_price,target_price,upside,fair_value_per_share,primary_method,valuation_basis,target_multiple,confidence,composite_score,ml_score,current_per,current_pbr,current_psr,ev_ebitda_proxy,roe,operating_margin,sales_growth,revenue,operating_income,net_income,equity,market_cap_proxy,enterprise_value_proxy,net_debt_proxy,ebitda_proxy,eps,bps,analyst_note_readiness,dart_table_bridge_count,revenue_segment_bridge_count,ebitda_bridge_count,backlog_bridge_count,nav_bridge_count,financial_data_basis,investment_thesis,key_risks
11,071050,한국투자금융지주(주),Financials,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,221000.0,135000,-0.3891402714932126,134125.44030974407,PBR/ROE,"BPS 196,471원 x target PBR 0.68x",0.682674478498085,0.95,0.9470168182301396,0.9471374586296084,6.723197202364016,1.1248504340389196,7.3279530904896095,36.853530017750174,0.2128,0.8872,1.3793,1857287776673.07,2345329000000.0,2024352000000.0,12099491000000.0,13610117703000.0,86433652703000.0,72823535000000.0,2345329000000.0,32871.26546314777,196470.56471896553,1.0,313,10,128,67,108,OpenDART CFS annual,"한국투자금융지주(주)은 Financials 내 quant rank 2위, composite score 0.95로 선별됐다. ROE 21.3%와 PBR 1.12x의 균형을 PBR/ROE 방식으로 점검할 필요가 있다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 충당금·금리·자본규제 변화 | 주주환원 정책 후퇴
12,175330,(주)JB금융지주,Financials,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,24800.0,20000,-0.19354838709677424,20008.2708911429,PBR/ROE,"BPS 32,521원 x target PBR 0.62x",0.6152480505586863,0.95,0.9265735542954472,0.1661579343100127,6.450520662977372,0.7625922168321789,7.974763731546301,7.958795213343498,0.1993,0.8706,0.1942,590505031035.8099,952314000000.0,730040000000.0,6175172000000.0,4709138104800.0,7579272104800.0,2870134000000.0,952314000000.0,3844.6508887784953,32520.657112158347,1.0,715,75,287,125,228,OpenDART CFS annual,"(주)JB금융지주은 Financials 내 quant rank 3위, composite score 0.93로 선별됐다. ROE 19.9%와 PBR 0.76x의 균형을 PBR/ROE 방식으로 점검할 필요가 있다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 충당금·금리·자본규제 변화 | 주주환원 정책 후퇴
13,000210,디엘(주),Construction & Infrastructure,master/KOSPI200,2026-06-30,2026-06-30,BUY,43250.0,305000,6.0520231213872835,304279.9344545152,PBR plus backlog/margin cycle,"BPS 217,343원 x target PBR 1.40x with backlog evidence",1.4,0.95,0.9182749519259238,-0.0325260907407285,-10.169094426440669,0.19899439017741477,0.18384037816453133,19.529613298417992,0.0565,0.9197,0.5841,5326721292281.0,298546039560.0,-96298295176.0,4921075694028.0,979266456750.0,5830488704381.0,4851222247631.0,298546039560.0,-4253.082741325093,217342.81032465375,1.0,259,74,64,50,71,OpenDART CFS annual,"디엘(주)은 Construction & Infrastructure 내 quant rank 2위, composite score 0.92로 선별됐다. 수주잔고 evidence와 마진 안정성을 PBR cycle에 결합해 목표가를 산출했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 원가율 상승과 해외 프로젝트 손실 | 수주잔고의 매출 전환 지연
14,139130,(주)아이엠금융지주,Financials,master/KOSPI200,2026-06-30,2026-06-30,BUY,16810.0,20000,0.1897679952409279,20487.67466856643,PBR/ROE,"BPS 40,073원 x target PBR 0.51x",0.5112541263376504,0.9285500000000001,0.7172039635981104,0.5819022859749969,5.902036871576398,0.4194805902946944,7.543765959260971,4.6294743343317775,0.0678,0.7177,0.5263,357924577036.39,583241000000.0,457486000000.0,6436768000000.0,2700099240230.0,2700099240230.0,,583241000000.0,2848.1692618619904,40073.36784805848,0.857,352,37,138,55,122,OpenDART CFS annual,"(주)아이엠금융지주은 Financials 내 quant rank 4위, composite score 0.72로 선별됐다. ROE 6.8%와 PBR 0.42x의 균형을 PBR/ROE 방식으로 점검할 필요가 있다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 충당금·금리·자본규제 변화 | 주주환원 정책 후퇴
15,096770,에스케이이노베이션(주),Energy & Chemicals,master/KOSPI200,2026-06-30,2026-06-30,BUY,94900.0,150000,0.5806111696522656,151964.9756982673,EV/EBITDA or replacement value,"Fallback BPS 213,689원 x peer PBR 0.71x",14.0,0.95,0.7088577101264408,-0.0898882963111868,-2.9728243031263886,0.4441033509972289,0.2012749612787969,98.78106345831353,0.1134999999999999,0.5628,1.5873,80296054243000.0,448683859000.0,-5436441431000.0,36391495746000.0,16161585208600.0,44321468748600.0,28159883540000.0,448683859000.0,-31922.505443795602,213688.99781301618,1.0,436,147,53,53,183,OpenDART CFS annual,"에스케이이노베이션(주)은 Energy & Chemicals 내 quant rank 2위, composite score 0.71로 선별됐다. EBITDA와 순차입금을 반영한 EV/EBITDA 관점에서 58.1%의 재평가 여지를 계산했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 스프레드와 원재료 가격 변동 | 순차입금·capex 확대
16,161890,한국콜마(주),Consumer & Retail,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,99500.0,82000,-0.1758793969849246,81825.28834647723,PER with PBR cross-check,"EPS 7,126원 x target PER 11.5x",11.481911019135932,0.95,0.7016515421847419,-0.3612896369217172,13.962066855988175,1.408646088818606,0.8627272346463608,11.59895027389028,0.1417,0.1253999999999999,0.1256,2722419169325.0,239594740448.0,168220449431.0,1667349364857.0,2348705161500.0,2779047480342.0,430342318842.0,239594740448.0,7126.452052285193,70635.20126865081,1.0,168,67,35,15,51,OpenDART CFS annual,"한국콜마(주)은 Consumer & Retail 내 quant rank 2위, composite score 0.70로 선별됐다. PER with PBR cross-check 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
17,000120,씨제이대한통운(주),Industrials,master/KOSPI200,2026-06-30,2026-06-30,BUY,74100.0,110000,0.4844804318488529,107689.22517040302,EV/EBITDA plus order cycle,EBITDA 5081억원 x target EV/EBITDA 10.3x - net debt,10.29443410446745,0.95,0.6688380952092966,-0.3003215377177014,6.533104095107976,0.3807505933909743,0.13760215800584785,8.786309947500474,0.0542,0.0423,-0.0015,12284652471280.0,508080820628.0,258742959823.0,4439637704423.0,1690394690400.0,4464155568418.0,2773760878018.0,508080820628.0,11342.234705166642,194615.58638704554,0.857,105,42,18,10,35,OpenDART CFS annual,"씨제이대한통운(주)은 Industrials 내 quant rank 1위, composite score 0.67로 선별됐다. EBITDA와 순차입금을 반영한 EV/EBITDA 관점에서 48.4%의 재평가 여지를 계산했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수주 취소와 납기 지연 | 원재료·환율에 따른 마진 변동
18,005380,현대자동차(주),Consumer & Retail,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,495000.0,415000,-0.16161616161616166,416880.9624314061,PER with PBR cross-check,"EPS 39,055원 x target PER 10.7x",10.674238817804998,0.95,0.6632081679569916,0.7420873070049295,12.674477107317815,1.0291415420018688,0.7053151639763044,24.763613118098586,0.0583,0.0446,-0.0037,186254472000000.0,11467851000000.0,10364775000000.0,127648237000000.0,131368103460000.0,283985425460000.0,152617322000000.0,11467851000000.0,39054.86560184828,480983.4019887433,1.0,256,63,52,34,107,OpenDART CFS annual,"현대자동차(주)은 Consumer & Retail 내 quant rank 3위, composite score 0.66로 선별됐다. PER with PBR cross-check 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
19,004000,롯데정밀화학(주),Energy & Chemicals,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,44050.0,38000,-0.13734392735527812,37995.06218484496,EV/EBITDA or replacement value,EBITDA 744억원 x target EV/EBITDA 14.0x - net debt,14.0,0.95,0.6311854163294958,0.1791799044395905,10.712211183729641,0.46658976325224993,0.6484288535941047,16.100793084977372,0.0467,0.0426,0.0469,1752682647758.0,74361152818.0,106092942018.0,2435737106786.0,1136490000000.0,1197273535083.0,60783535083.0,74361152818.0,4112.129535581395,94408.41499170543,0.857,148,41,32,27,48,OpenDART CFS annual,"롯데정밀화학(주)은 Energy & Chemicals 내 quant rank 3위, composite score 0.63로 선별됐다. EBITDA와 순차입금을 반영한 EV/EBITDA 관점에서 -13.7%의 재평가 여지를 계산했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 스프레드와 원재료 가격 변동 | 순차입금·capex 확대
20,066570,엘지전자(주),IT Hardware & Components,master/KOSPI200,2026-06-30,2026-06-30,HOLD,203000.0,215000,0.059113300492610765,216874.92672043835,Forward PER,"EPS 6,777원 x target PER 32.0x",32.0,0.95,0.6279629739826348,-0.1571652670731144,29.952747872849496,1.2802837254800665,0.4098019225527389,19.948287009076854,0.0855,-0.0266,-0.0393,89200882000000.0,2478392000000.0,1220412000000.0,28552025000000.0,36554692937000.0,49439674937000.0,12884982000000.0,2478392000000.0,6777.341460013698,158558.60381563572,1.0,448,140,93,68,147,OpenDART CFS annual,"엘지전자(주)은 IT Hardware & Components 내 quant rank 7위, composite score 0.63로 선별됐다. Forward PER 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
