rank,ticker,name,sector_model,sector_source,signal_date,date,rating,current_price,target_price,upside,fair_value_per_share,primary_method,valuation_basis,target_multiple,confidence,composite_score,ml_score,current_per,current_pbr,current_psr,ev_ebitda_proxy,roe,operating_margin,sales_growth,revenue,operating_income,net_income,equity,market_cap_proxy,enterprise_value_proxy,net_debt_proxy,ebitda_proxy,eps,bps,analyst_note_readiness,dart_table_bridge_count,revenue_segment_bridge_count,ebitda_bridge_count,backlog_bridge_count,nav_bridge_count,financial_data_basis,investment_thesis,key_risks
21,073240,금호타이어(주),Consumer & Retail,master/KOSPI200,2026-06-30,2026-06-30,BUY,4880.0,16000,2.278688524590164,15753.284590424895,PER with PBR cross-check,"EPS 1,312원 x target PER 12.0x",12.010662324722006,0.9285500000000001,0.6023717353586746,-0.2507368717249416,3.7206229474371804,0.6261784153884523,0.29818040654637784,4.235908816094174,0.2857,0.1156,-0.0215,4701282075494.0,575859298284.0,376772981397.0,2238707317451.0,1401830200560.0,2439287478431.0,1037457277871.0,575859298284.0,1311.6083163872909,7793.305997257463,0.857,123,43,41,19,20,OpenDART CFS annual,"금호타이어(주)은 Consumer & Retail 내 quant rank 4위, composite score 0.60로 선별됐다. PER with PBR cross-check 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
22,259960,(주)크래프톤,Gaming & Internet,master/KOSPI200,2026-06-30,2026-06-30,HOLD,236000.0,235000,-0.004237288135593209,237001.46600000001,PER plus pipeline valuation,"EPS 15,478원 x target PER 15.3x",15.312418766913469,0.9285500000000001,0.5760616201967645,-0.578348550538508,15.247715087937804,1.5572215416138315,3.3630312755598983,11.242180383785442,0.1043,0.3682999999999999,0.0943,3326553694966.0,1054380980188.0,733703643561.0,7184144206229.0,11187304116000.0,11853541172506.0,666237056506.0,1054380980188.0,15477.728868812312,151551.97490745,0.857,215,48,35,33,99,OpenDART CFS annual,"(주)크래프톤은 Gaming & Internet 내 quant rank 1위, composite score 0.58로 선별됐다. PER plus pipeline valuation 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 신작 흥행 실패 | 인건비와 플랫폼 수수료 부담
23,268280,미원스페셜티케미칼(주),Energy & Chemicals,master/KOSPI200,2026-06-30,2026-06-30,BUY,105600.0,180000,0.7045454545454546,177655.0244968,EV/EBITDA or replacement value,EBITDA 655억원 x target EV/EBITDA 14.0x - net debt,14.0,0.95,0.5621291436518058,-0.3791861026815984,8.612990297158515,1.177262505838472,0.9922526973949548,8.498141364106653,0.1275,0.1199,0.0324,532122514140.0,65482438995.0,61302751052.0,448498102489.0,528000000000.0,556479023446.0,28479023446.0,65482438995.0,12260.5502104,89699.6204978,0.857,171,29,54,36,52,OpenDART CFS annual,"미원스페셜티케미칼(주)은 Energy & Chemicals 내 quant rank 4위, composite score 0.56로 선별됐다. EBITDA와 순차입금을 반영한 EV/EBITDA 관점에서 70.5%의 재평가 여지를 계산했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 스프레드와 원재료 가격 변동 | 순차입금·capex 확대
24,316140,(주)우리금융지주,Financials,master/KOSPI200,2026-06-30,2026-06-30,HOLD,29000.0,27000,-0.06896551724137934,26718.00867230877,PBR/ROE,"BPS 51,574원 x target PBR 0.52x",0.5180519561269814,0.95,0.5333699930226096,0.4858751451952084,6.595866928912337,0.5622988940509331,14.564008818758444,5.79301375201099,0.0469,0.8756,0.1712,1461700109147.2,3674808000000.0,3227508000000.0,37859248000000.0,21288213280000.0,21288213280000.0,,3674808000000.0,4396.692703559761,51573.99437704243,1.0,651,100,236,93,222,OpenDART CFS annual,"(주)우리금융지주은 Financials 내 quant rank 5위, composite score 0.53로 선별됐다. ROE 4.7%와 PBR 0.56x의 균형을 PBR/ROE 방식으로 점검할 필요가 있다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 충당금·금리·자본규제 변화 | 주주환원 정책 후퇴
25,456040,오씨아이(주),Energy & Chemicals,master/KOSPI200,2026-06-30,2026-06-30,HOLD,94500.0,93000,-0.015873015873015928,92525.7718772298,EV/EBITDA or replacement value,"Fallback BPS 130,107원 x peer PBR 0.71x",14.0,0.95,0.527588512125999,0.3576517074037857,-12.353434463645533,0.7263240661956315,0.4210204574896919,2786.0133200885507,-0.0335,0.0178,-0.0983,2009429144000.0,440425000.0,-68483852000.0,1164784174000.0,846010777500.0,1227029916500.0,381019139000.0,440425000.0,-7649.69452649792,130107.21301715332,0.857,326,90,75,68,93,OpenDART CFS annual,"오씨아이(주)은 Energy & Chemicals 내 quant rank 5위, composite score 0.53로 선별됐다. EBITDA와 순차입금을 반영한 EV/EBITDA 관점에서 -1.6%의 재평가 여지를 계산했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 스프레드와 원재료 가격 변동 | 순차입금·capex 확대
26,004170,(주)신세계,Consumer & Retail,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,755000.0,70000,-0.9072847682119205,70052.47636022457,PER with PBR cross-check,"EPS 6,698원 x target PER 10.5x",10.458702699257838,0.9285500000000001,0.5130967984103423,0.6132144857607748,112.72007712240074,1.1079893869069117,1.0508857633013966,23.68389007834883,0.0141999999999999,0.1192,0.0063,6929498818333.0,479961762138.0,64603501354.0,6572365891815.0,7282111655000.0,11367361616287.0,4085249961287.0,479961762138.0,6698.0081922775735,681414.4692375395,0.857,201,52,24,24,101,OpenDART CFS annual,"(주)신세계은 Consumer & Retail 내 quant rank 5위, composite score 0.51로 선별됐다. PER with PBR cross-check 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
27,035250,(주)강원랜드,Consumer & Retail,master/KOSPI200,2026-06-30,2026-06-30,BUY,14300.0,16500,0.15384615384615374,16267.587295930738,PER with PBR cross-check,"EPS 1,487원 x target PER 10.9x",10.937697349705871,0.9285500000000001,0.5124999230688012,0.0062380034852677,9.614767651495496,0.7716823343725822,2.0717092929875904,13.332847513509739,0.0785,0.1596,0.0348,1476727048701.0,235311359166.0,318192728196.0,3964518835963.0,3059349150000.0,3137370469957.0,78021319957.0,235311359166.0,1487.2954311876433,18530.941247510407,0.857,194,47,68,34,45,OpenDART CFS annual,"(주)강원랜드은 Consumer & Retail 내 quant rank 6위, composite score 0.51로 선별됐다. PER with PBR cross-check 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
28,006260,(주)엘에스,Industrials,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,365500.0,320000,-0.12448700410396718,318823.77113879647,EV/EBITDA plus order cycle,EBITDA 1.05조원 x target EV/EBITDA 13.0x - net debt,12.965022740020794,0.95,0.501465611940819,0.6446746049712722,23.882241391748856,1.508720259472253,0.36355000721524244,14.370780976557972,0.0583,0.7918000000000001,0.1699,31870031000000.0,1052554000000.0,485145000000.0,7679588000000.0,11586350000000.0,15126023000000.0,3539673000000.0,1052554000000.0,15304.258675078865,242258.29652996844,1.0,250,83,36,38,93,OpenDART CFS annual,"(주)엘에스은 Industrials 내 quant rank 2위, composite score 0.50로 선별됐다. EBITDA와 순차입금을 반영한 EV/EBITDA 관점에서 -12.4%의 재평가 여지를 계산했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수주 취소와 납기 지연 | 원재료·환율에 따른 마진 변동
29,028050,삼성이앤에이(주),Construction & Infrastructure,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,47600.0,32000,-0.32773109243697474,31758.481965578572,PBR plus backlog/margin cycle,"BPS 22,685원 x target PBR 1.40x with backlog evidence",1.4,0.95,0.5014324310253374,0.6460082092512269,14.390692184682006,2.0983370701479926,1.0333191505467527,12.201174059508405,0.1223,0.0731,-0.3017,9028769083650.0,792078846892.0,648307939623.0,4446187475181.0,9329600000000.0,9664291879784.0,334691879784.0,792078846892.0,3307.693569505102,22684.629975413267,1.0,252,40,39,63,110,OpenDART CFS annual,"삼성이앤에이(주)은 Construction & Infrastructure 내 quant rank 3위, composite score 0.50로 선별됐다. 수주잔고 evidence와 마진 안정성을 PBR cycle에 결합해 목표가를 산출했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 원가율 상승과 해외 프로젝트 손실 | 수주잔고의 매출 전환 지연
30,014820,동원시스템즈(주),Packaging & Materials,master/KOSPI200,2026-06-30,2026-06-30,HOLD,18810.0,19000,0.010101010101010166,18834.37776,PER with PBR cross-check,"EPS 1,836원 x target PER 10.3x",10.256078805023492,0.9285500000000001,0.4946435721777791,-0.404946052452827,10.242804130869885,0.6379152503391948,0.40083344282415895,10.59217917397016,0.0742999999999999,0.044,0.0288,1372874325188.0,66155675299.0,53724930722.0,862644280784.0,550293942330.0,700732766142.0,150438823812.0,66155675299.0,1836.4111780005826,29486.675526252544,0.857,173,58,43,24,48,OpenDART CFS annual,"동원시스템즈(주)은 Packaging & Materials 내 quant rank 1위, composite score 0.49로 선별됐다. PER with PBR cross-check 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
