date,equity_curve,running_peak,drawdown
2023-02-01,0.9994589972807864,0.9994589972807864,0.0
2023-02-02,0.9987083880012291,0.9994589972807864,-0.0007510155810287467
2023-02-03,0.9964338560996123,0.9994589972807864,-0.0030267786766685623
2023-02-06,0.9900105166301458,0.9994589972807864,-0.009453595071280407
2023-02-07,0.9900176395226681,0.9994589972807864,-0.009446468323168089
2023-02-08,0.9975993997907007,0.9994589972807864,-0.001860604081953432
2023-02-09,0.9941573715456183,0.9994589972807864,-0.005304495481647686
2023-02-10,0.990366811365568,0.9994589972807864,-0.009097107475099286
2023-02-13,0.9898341069969847,0.9994589972807864,-0.00963010019419297
2023-02-14,0.9929419752093659,0.9994589972807864,-0.006520549706542478
2023-02-15,0.9872772918782426,0.9994589972807864,-0.012188299305610606
2023-02-16,0.9961526469245877,0.9994589972807864,-0.00330814006897151
2023-02-17,0.9997383705215674,0.9997383705215674,0.0
2023-02-20,1.0088562823923664,1.0088562823923664,0.0
2023-02-21,1.0183023766739179,1.0183023766739179,0.0
2023-02-22,1.010692439787076,1.0183023766739179,-0.0074731602922288864
2023-02-23,1.01358243416395,1.0183023766739179,-0.00463510899914088
2023-02-24,1.0045688674291162,1.0183023766739179,-0.01348667111006796
2023-02-27,1.0071411951211784,1.0183023766739179,-0.010960576944929912
2023-02-28,1.0038483775963425,1.0183023766739179,-0.014194211276209012
2023-03-02,1.0143546446617107,1.0183023766739179,-0.0038767777652662927
2023-03-03,1.015720630490642,1.0183023766739179,-0.002535343373849863
2023-03-06,1.00917332385848,1.0183023766739179,-0.008964972511658287
2023-03-07,1.0109631476188716,1.0183023766739179,-0.007207318006090091
2023-03-08,1.0049233489535312,1.0183023766739179,-0.013138560831102652
2023-03-09,1.004805528660743,1.0183023766739179,-0.01325426349024117
2023-03-10,0.9939440792401748,1.0183023766739179,-0.023920495514607953
2023-03-13,0.9893812656503107,1.0183023766739179,-0.028401299737777497
2023-03-14,0.9679292017936204,1.0183023766739179,-0.04946779663308987
2023-03-15,0.9781739265204705,1.0183023766739179,-0.03940720465027192
2023-03-16,0.9731767133941307,1.0183023766739179,-0.04431460076444205
2023-03-17,0.976818146712664,1.0183023766739179,-0.040738616457671295
2023-03-20,0.9774880773210812,1.0183023766739179,-0.04008072679369401
2023-03-21,0.9812646207132947,1.0183023766739179,-0.036372060803392836
2023-03-22,0.9797762538007023,1.0183023766739179,-0.037833676671808925
2023-03-23,0.9787680884838628,1.0183023766739179,-0.038823721809612244
2023-03-24,0.9795502662121683,1.0183023766739179,-0.03805560249041706
2023-03-27,0.9835267330166118,1.0183023766739179,-0.03415060639541456
2023-03-28,0.9920044781487196,1.0183023766739179,-0.02582523534030734
2023-03-29,0.9942052709688683,1.0183023766739179,-0.023663998294649935
2023-03-30,0.9966936455368504,1.0183023766739179,-0.02122034832880204
2023-03-31,1.006782751983611,1.0183023766739179,-0.011312577633309062
2023-04-03,1.0050873060153722,1.0183023766739179,-0.012977550638455848
2023-04-04,1.0131881253006676,1.0183023766739179,-0.005022330783470141
2023-04-05,1.0149655514109657,1.0183023766739179,-0.0032768510998190115
2023-04-06,0.998112160082419,1.0183023766739179,-0.019827329341453814
2023-04-07,1.0039034065810144,1.0183023766739179,-0.014140171350610853
2023-04-10,1.0007101266169047,1.0183023766739179,-0.017276057151584756
2023-04-11,1.0176554393651558,1.0183023766739179,-0.0006353096325623087
2023-04-12,1.02704048514526,1.02704048514526,0.0
2023-04-13,1.0324259988702538,1.0324259988702538,0.0
2023-04-14,1.0361557651345008,1.0361557651345008,0.0
2023-04-17,1.0378525211322014,1.0378525211322014,0.0
2023-04-18,1.0369853748063376,1.0378525211322014,-0.0008355197951611659
2023-04-19,1.0435705573083134,1.0435705573083134,0.0
2023-04-20,1.0409409870776496,1.0435705573083134,-0.0025197819277752442
2023-04-21,1.032966029552367,1.0435705573083134,-0.010161773616245595
