ticker,rcept_no,category,snippet
000120,20260515002802,nav,"포괄손익-공정가치측정금융자산 (주5) 224,805,190,138 268,143,575,230 기타비유동금융자산 (주6) 119,854,718,475 128,056,758,789 관계기업및공동기업투자 (주8) 159,291,290,590 153,290,582,322 유형자산 (주9) 3,719,095,095,052 3,650,806,055,273 사용권자산 (주10) 1,807,652,456,943 1,667,516,114,271 투자부동산 167,728,477,785 167,260,761,454 무형자"
000120,20260515002802,nav,",410,224) (4,935,410,224) 해외사업장환산외환차이 45,807,845,796 45,807,845,796 (4,618,640,922) (4,618,640,922) 관계기업의 자본변동 3,127,665,035 3,127,665,035 (316,769,302) (316,769,302) 후속적으로 당기손익으로 재분류되지 않는 항목 (21,158,759,614) (21,158,759,614) (3,608,926,140) (3,608,926,140) 해외사업장환산외환차이 11,691,813,981"
000120,20260515002802,nav,"0 (4,786,370,611) 해외사업장환산외환차이 0 0 0 (4,618,640,922) 0 (4,618,640,922) 1,177,444,471 (3,441,196,451) 관계기업의 자본변동 0 0 0 (299,330,997) (13,656,266) (312,987,263) (3,782,039) (316,769,302) 총포괄이익 0 0 0 (9,704,342,530) 35,840,978,844 26,136,636,314 6,296,310,570 32,432,946,884 배당 0 0 0 0 (1"
000120,20260515002802,guidance,"- 다만 2024년 하반기 이후 인플레이션 심화 및 에너지/원자재 원가 상승에 따른 산업재 성장 둔화로 P&D(Port & Delivery) 사업의 성장은 다소 제한적일 것으로 전망됩니다.(경기변동의 특성 및 경쟁요소) - 최근 옴니채널, 플랫폼, D2C 등으로 소비 채널이 다변화되면서 e-Commerce 물류시장의 확대가 가속화되고 있으며, 소비자의 구매 패턴도 대량소빈도에서 소량다빈도 중심으로 확대됨에 따라, 물류 운영 난이도가 점차 증가되고 있고, 이에 따른 자동화 설비 기반 프로세스 최적화"
000120,20260515002802,guidance,"것으로 예상됩니다.- e-Commerce 물류 시장은 고객의 빠른 배송 니즈 증가 대응 및 자가 온라인 플랫폼 업체와 경쟁 위한 3PL 풀필먼트 서비스 니즈 증가로 지속 고성장이 전망됩니다. 풀필먼트 서비스는 단순 배송의 위탁을 넘어 보관, 포장, 재고관리, 배송 등 물류의 전 과정을 일괄 대행해 주는 서비스로, AI , 물류 자동화시스템, 물류 로봇 등 첨단 물류 기술 발달/도입에 따른 서비스 고도화로 시장은 지속 확대될 것입니다. [연도별 증가추이] (단위 : 백만개, 억원) 년도별 국내물량 국내"
000120,20260515002802,guidance,"능력 및 가동률을 파악하는데 어려움이 있어 연간 사업계획을 바탕으로 산출하였습니다. 사업부문별 세부 내역은 다음과 같습니다. 2) 생산실적 및 가동률 (단위: 억원) 사업부문 영업목표 영업실적 영업목표대비(%) CL사업부문 8,784 8,533 97.1% 택배사업부문 9,698 9,678 99.8% 글로벌사업부문 11,077 11,694 105.6% 건설사업부문 2,514 2,241 89.1% 합 계 32,073 32,146 100.2% (3) 생산설비의 현황 등 1) 유형자산 (단위:천원) 구 분"
000120,20260515002802,margin_risk,"이 후 (x) 각 재설정일의 2영업일 전에 발표하는 씨제이대한통운 3년 개별민평수익률과, (y) 연 1.50%의 가산 금리를 합산한 금리에, (z) 연 1.50%의 Step-up마진을 가산한 고정금리 적용 - 발행일(당일 포함)로부터 2027년 11월 8일(당일 제외)까지 기간에 대해서는 연 4.881%의 고정금리- 이 후 (x) 각 재설정일의 2영업일 전에 발표하는 씨제이대한통운 3년 개별민평수익률과, (y) 연 1.50%의 가산 금리를 합산한 금리에, (z) 연 1.50%의 Step-up마진을"
000120,20260515002802,margin_risk,"이 후 (x) 각 재설정일의 2영업일 전에 발표하는 씨제이대한통운 5년 개별민평수익률과, (y) 연 1.60%의 가산 금리를 합산한 금리에, (z) 연 1.50%의 Step-up마진을 가산한 고정금리 적용 이자지급정지권한 발행회사는 이자와 미지급이자를 연기하는 횟수에 대한 제한이 없음 발행회사는 이자와 미지급이자를 연기하는 횟수에 대한 제한이 없음 발행회사는 이자와 미지급이자를 연기하는 횟수에 대한 제한이 없음 발행일 2024년 03월 28일 2024년 11월 08일 2024년 11월 08일 사채의"
000120,20260515002802,margin_risk,"이 후 (x) 각 재설정일의 2영업일 전에 발표하는 씨제이대한통운 3년 개별민평 수익률과,(y) 연 1.50%의 가산 금리를 합산한 금리에, (z) 연 1.50%의 Step-up마진을 가산금리 적용 우선순위 - 발행회사의 청산절차에서 발행회사에 대한 모든 일반 무보증(동순위 채권 제외), 비후순위채권보다 후순위- 본 사채보다 우선하는 후순위 특약이 부가된 발행회사에 대한 기한부 후순위채권보다 후순위, 발행회사의 주주의 권리(보통주 및 우선주를 포함함)보다는 선순위 부채분류 시 재무구조에미치는 영향"
000210,20260515002257,backlog,"공사기성고에 따른 중도금 수납에 의한 판매- 부동산 : 상가 등 기타 부동산은 공개입찰/수의계약에 의한 판매 다. 수주상황 1) 주요 자회사● DL이앤씨㈜2026년 1분기말 현재 수주잔고 총액은 약 22조 2,252억원이며, 수주잔고 4천억 원 이상인 계약의 상세내용은 아래와 같습니다. (단위 : 백만원) 구분 발주처 공사명 계약일 준공예정일 기본도급액 완성공사액 계약잔액 비 고 국내 성남도시개발공사 백현마이스 2023-09-27 2031-06-30 2,388,000 - 2,388,000 - 부산 촉진3"
000210,20260515002257,backlog,"삼성4구역 재개발정비사업 2024-02-29 2031-02-28 403,780 - 403,780 - 합 계 - - 8,196,095 243,954 7,952,141 - ※ 전체 수주잔고 상세내용은 상세표에 기재하였습니다.2) 주요 자회사의 종속회사● DL건설㈜2026년 1분기말 현재 수주잔고 총액은 약 4조 3,164억원이며, 수주잔고 2천억 원 이상인 계약의 상세내용은 아래와 같습니다. (단위 : 백만원) 구분 발주처 공사명 계약일 준공예정일 기본도급액 완성공사액 계약잔액 비 고 국내 한국토지주택공사"
000210,20260515002257,backlog,"952,141 - ※ 전체 수주잔고 상세내용은 상세표에 기재하였습니다.2) 주요 자회사의 종속회사● DL건설㈜2026년 1분기말 현재 수주잔고 총액은 약 4조 3,164억원이며, 수주잔고 2천억 원 이상인 계약의 상세내용은 아래와 같습니다. (단위 : 백만원) 구분 발주처 공사명 계약일 준공예정일 기본도급액 완성공사액 계약잔액 비 고 국내 한국토지주택공사대전충남지역본부 충남도청(내포) 신도시 RH-12BL 아파트 건설공사 5공구 2024-11-13 2028-04-26 327,976 73,698 254,2"
000210,20260515002257,new_orders,"운영과 원가 절감을 통해 생산성 극대화를 이어나갈 예정입니다.제조부문(자동차부품)은 국내외 고객으로부터 인정받은 기술력을 바탕으로 전기차 확산에 발맞춰 배터리와 구동모터 부품을 수주하여 생산, 공급하고 있습니다. 전기차 캐즘(Chasm)으로 위축되었으나 현대자동차로부터 자체 생산하던 실린더블록의 아웃소싱 물량을 수주 받아 당분기 매출은 전년 동분기 대비 32.6% 증가한 979억원을 기록하였습니다.나. 에너지부문은 현재 한국, 미국, 호주, 요르단, 파키스탄 등 글로벌 전역에 위치한 발전회사에 직/"
000210,20260515002257,new_orders,"차 확산에 발맞춰 배터리와 구동모터 부품을 수주하여 생산, 공급하고 있습니다. 전기차 캐즘(Chasm)으로 위축되었으나 현대자동차로부터 자체 생산하던 실린더블록의 아웃소싱 물량을 수주 받아 당분기 매출은 전년 동분기 대비 32.6% 증가한 979억원을 기록하였습니다.나. 에너지부문은 현재 한국, 미국, 호주, 요르단, 파키스탄 등 글로벌 전역에 위치한 발전회사에 직/간접적으로 투자를 하고 있으며, 현재 총 4,738MW를 운영 중에 있습니다. 또한 친환경 신재생 발전으로 사업을 확대하여 국내 지붕형"
000210,20260515002257,new_orders,"100.0 연결조정 - (50,849) (3.8) 연결합계 - 1,282,759 96.2 ※ 당분기 매출이 발생한 회사를 기재하였습니다. 자세한 세부 매출 실적은 ""4. 매출 및 수주상황""을 참고하시기 바랍니다.나. 주요 제품 등의 가격변동 현황 1) 주요 제품 등의 가격변동 추이가) 제조부문 - DL케미칼㈜, DL에프엔씨㈜ (단위 : 천원/톤) 품목 주요 상표 등 2026년 1분기 2025년 2024년 PE, PB 등 내수 D.XPOLY 등 1,707 1,664 1,663 수출 D.XPOLY 등 1"
000210,20260515002257,segment_sales,"NCC사업을 분사하여 한화솔루션㈜(구, 한화케미칼)과 함께 여천NCC㈜를 설립하였고, 1999년 대림엔지니어링㈜를 흡수 합병하였으며, 2021년 1월 1일을 분할기일로 하여 건설사업부문을 DL이앤씨㈜로 인적분할하고 석유화학사업부문을 DL케미칼㈜로 물적분할하였으며, 자회사의 지분관리 등 투자사업부문을 영위하는 분할존속회사의 사명을 대림산업㈜에서 DL㈜로 변경하고 2021년 01월 25일 유가증권시장에 변경상장하였습니다.라. 본사의 주소, 전화번호, 홈페이지- 주소 : 서울특별시 강서구 공항대로 165(마"
000210,20260515002257,segment_sales,"하였고, 현재 브랜드의 사용으로 인한 로열티 수익, 배당수익, 임대수익 등을 주요사업으로 영위하고 있습니다.당사는 K-IFRS 기준에 따라 당사 및 당사의 연결대상기업이 영위하는 사업부문을 제조부문, 에너지부문, 투자 및 기타부문으로 구분하였고, 당분기말 사업부문별 주요 제품 및 서비스와 매출비중은 다음과 같습니다. 구분 주요 제품 및 서비스 2026년 1분기 매출비중 제조부문 유화사업,소재사업 폴리에틸렌(HDPE, LLDPE), 폴리부텐(PB), EPO 등 82.2% BOPP 등 APAO Solid I"
