period,months,tickers,pc1_var_ratio,pc2_var_ratio,pc3_var_ratio,pc1_to_pc3_cumulative
full_2007_2026,233,200,0.20540786916442944,0.04558488279464256,0.03504123099267997,0.286033982951752
rate_hike_2022,12,190,0.43910477350552896,0.11507143343617385,0.08351095916497529,0.6376871661066781
recent_2024_2026,30,200,0.27097674640187625,0.08875836725434141,0.07243967344220151,0.43217478709841917
