ticker,name,signal_date,balanced_raw_score,balanced_score,value_momentum_raw_score,value_momentum_score,defensive_raw_score,defensive_score,aggressive_raw_score,aggressive_score,ml_signal_date,ml_score,regime,target_exposure,composite_score,factor_scope,date,adj_close,close,volume,trading_value,kis_price,kis_change_rate,kis_accum_volume,kis_quote_error,target_weight,target_value,execution_price,target_quantity,target_order_value
000660,에스케이하이닉스(주),2026-06-30,0.9754179189694676,3.0,1.6831799492648956,3.0,0.0511033036089365,-0.013464414344939,3.1819430039996095,3.0,2026-05-29,3.0,neutral,0.8,2.3973071171310125,institutional_core_satellite_regime_overlay,2026-06-30,2650000,2650000,5109213,13522108237000,2201000.0,-6.06,6351195.0,,0.02666666666666667,266666.6666666667,2201000.0,0,0.0
011070,엘지이노텍(주),2026-06-30,0.798370721067064,2.9362999844509914,1.4719866077816897,3.0,-0.2217476389909256,-0.8045757593565631,2.5889034495085563,3.0,2026-05-29,1.8677115348324071,neutral,0.8,1.9871471488755656,institutional_core_satellite_regime_overlay,2026-06-30,981000,981000,255297,242252726000,814000.0,-4.8,329090.0,,0.02666666666666667,266666.6666666667,814000.0,0,0.0
009150,삼성전기(주),2026-06-30,0.7303125385930757,2.6977788673760577,1.5653028650926428,3.0,-0.5702987954621387,-1.8151743359049208,3.1635222398280396,3.0,2026-05-29,3.0,neutral,0.8,1.916076679769439,institutional_core_satellite_regime_overlay,2026-06-30,2184000,2184000,1322616,2864321365500,1648000.0,-9.85,1107652.0,,0.02666666666666667,266666.6666666667,1648000.0,0,0.0
047040,(주)대우건설,2026-06-30,0.492018892822036,1.862639512855529,1.326787813600616,3.0,-0.6724475062932462,-2.1113470492801896,2.135450351569854,3.0,2026-05-29,3.0,neutral,0.8,1.522786395286174,institutional_core_satellite_regime_overlay,2026-06-30,18840,18840,4480768,85124986345,16820.0,-6.97,4455410.0,,0.02666666666666667,266666.6666666667,16820.0,15,252300.0
081660,(주)미스토홀딩스,2026-06-30,0.5096645910025382,1.924481770297375,-0.0431190023140525,0.1231209351684992,0.8378072940063395,2.2675262468528556,0.6287781077604555,0.9889227530755824,2026-05-29,0.431150773314683,neutral,0.8,1.3341522991861576,institutional_core_satellite_regime_overlay,2026-06-30,41450,41450,202003,8628119750,46200.0,1.09,169562.0,,0.02666666666666667,266666.6666666667,46200.0,5,231000.0
005930,삼성전자(주),2026-06-30,0.3726450765444695,1.444274299842304,0.7276720306427754,2.0302274154969924,-0.2352620205262476,-0.8437597198425926,1.6099164576416656,2.596866902804599,2026-05-29,2.0215514408610056,neutral,0.8,1.2193135472400027,institutional_core_satellite_regime_overlay,2026-06-30,334000,334000,29237216,9724402126750,,,,KIS API HTTP 500: 초당 거래건수를 초과하였습니다.,0.02666666666666667,266666.6666666667,334000.0,0,0.0
402340,에스케이스퀘어(주),2026-06-30,0.3812251874847217,1.4743447127111462,0.5699122505565646,1.639895034769281,-0.5925813981284264,-1.8797811120359385,3.654876825022492,3.0,2026-05-29,3.0,neutral,0.8,1.141760669631127,institutional_core_satellite_regime_overlay,2026-06-30,1697000,1697000,1515394,2530668448000,1356000.0,-9.3,1196192.0,,0.02666666666666667,266666.6666666667,1356000.0,0,0.0
138930,(주)BNK금융지주,2026-06-30,0.4056481981421722,1.5599391786899364,0.0822330744976941,0.4332695328931782,0.5006168468030584,1.2898672156240096,0.4759714285227465,0.7384946600859027,2026-05-29,0.8077866672094292,neutral,0.8,1.130160354621298,institutional_core_satellite_regime_overlay,2026-06-30,17050,17050,811368,13879975310,18470.0,-0.75,902063.0,,0.02666666666666667,266666.6666666667,18470.0,14,258580.0
000990,(주)디비하이텍,2026-06-30,0.3039722826004153,1.2035991755770783,0.5182907565297536,1.5121721091338918,-0.0820005824947946,-0.3993893935971454,0.9458875109962596,1.5086192972161772,2026-05-29,1.629810578590354,neutral,0.8,1.0299583290562515,institutional_core_satellite_regime_overlay,2026-06-30,144200,144200,911207,130996077150,111800.0,-0.97,588401.0,,0.02666666666666667,266666.6666666667,111800.0,2,223600.0
034730,에스케이(주),2026-06-30,0.3560220898630208,1.386016303400858,0.6523353960752624,1.8438280181938185,-0.1897752949510484,-0.711874287059819,1.31275385775121,2.1098602904649897,2026-05-29,0.997874259881858,neutral,0.8,0.9803721195635148,institutional_core_satellite_regime_overlay,2026-06-30,834000,834000,377589,306951163000,626000.0,-6.15,362270.0,,0.02666666666666667,266666.6666666667,626000.0,0,0.0
