ticker,name,available_date,fiscal_period,pbr,per,roe,roa,debt_ratio,operating_cash_flow_to_net_income,sales_growth,asset_growth,per_value_z,pbr_value_z,psr_value_z,value_score,roe_quality_z,roa_quality_z,operating_margin_quality_z,debt_ratio_quality_z,operating_cash_flow_to_net_income_quality_z,quality_score,sales_growth_growth_z,asset_growth_growth_z,growth_score,composite_score,composite_weight_coverage,factor_scope,preview_note
081660,(주)미스토홀딩스,2026-03-31,2025-12,3.973174836887565,7.265094281920138,0.5571,0.3804,0.3924,1.0089452072443126,1.1084,-0.061,0.3153346060415853,-1.2889607864072694,-0.6950376957598368,-0.5562212920418402,1.9615065489554804,2.858320007599989,3.097770268524306,0.4147677209944423,-0.03960772813578804,1.6585513635876858,4.227973550382325,0.8177225828646615,2.522848066623493,0.8797788742480178,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
071050,한국투자금융지주(주),2026-03-31,2025-12,1.152471242311976,6.083707938863396,0.2128,0.1315,0.6194,0.2015811991136683,1.3793,0.2832,0.3335189536432678,0.1418411744490805,-0.3569099631846116,0.039483388302578894,1.0772497682956386,1.3471250346965629,3.097770268524306,0.3064982891379534,-0.12826768052463855,1.1400751360259644,4.227973550382325,-1.745160150245861,1.241406700068232,0.6983838351482651,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
036530,(주)에스앤티홀딩스,2026-03-31,2025-12,1.576108015712634,6.427732372068926,0.2699,0.2586,0.079,0.5416334219095622,1.671,0.3198,0.3282235988140469,-0.07304858824635795,-1.3464685042213227,-0.3637644978845446,1.3995304010711709,2.858320007599989,3.097770268524306,0.5642463110553395,-0.09092515153004885,1.5657883673441515,4.227973550382325,-2.017680510594045,1.10514651989414,0.6850343655905262,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
138930,(주)BNK금융지주,2026-03-31,2025-12,0.9367647349419532,8.450943995918664,0.1105,0.0814,0.3824,1.014604219718009,0.8728,0.0308,0.297081556537974,0.2512583050926642,-0.6452912662530891,-0.0323171348741503,0.49985381850690014,0.7455385033544968,2.9226880810115152,0.4195372994903229,-0.03898628877085088,0.9097262827184768,3.6023295583346573,0.13418790854872323,1.8682587334416902,0.6769636005087512,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
096770,에스케이이노베이션(주),2026-03-31,2025-12,0.6526028336261179,6.367147390153194,0.1134999999999999,0.0724,0.5038,0.2773018282495836,1.5873,0.1338,0.32915614588222003,0.3953994358322593,-0.0068605082252074165,0.23923169116309062,0.5167862510520238,0.6374690665864611,1.899429962881201,0.3616346165503328,-0.1199524877411652,0.6590734818657707,4.227973550382325,-0.6327409743983534,1.797616287991986,0.67389653676069,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
100250,(주)진양홀딩스,2026-03-31,2025-12,0.703677563002602,6.962394238778039,0.1041,0.0935,0.1109,1.0516431446748211,0.7354,0.0558,0.31999388015279434,0.36949177822420204,-0.579059429704135,0.03680874289095378,0.4637312957439682,0.8908318572315227,2.8312562719770575,0.5490313556534805,-0.03491889254048313,0.9399863776131092,3.0128926102590152,-0.051959878574353656,1.4804663658423307,0.6537423611837481,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
000210,디엘(주),2026-03-31,2025-12,0.2463492850642348,4.474523635603254,0.0565,0.0501999999999999,0.1132,0.0770583927750315,0.5841,0.0288,0.35828813004151594,0.6014715573430103,-0.2802094312464928,0.22651675204601115,0.19507003269466275,0.3708977892253047,3.097770268524306,0.5479343525994279,-0.14194204050369166,0.8139460805080019,2.3638255779166224,0.14907973151856937,1.2564526547175958,0.6429349560171048,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
001940,KISCO홀딩스(주),2026-03-31,2025-12,0.6501582128552409,9.472835709876383,0.0684,0.0683,0.0025,1.0210444723514351,0.7055,-0.0062,0.2813522108864865,0.39663946977246045,-0.8468216729895215,-0.0562766641101915,0.26223534845698915,0.5882374342810224,2.9584826615696858,0.5997357907274877,-0.03827905822044053,0.8740824353629488,2.884623580073704,0.409686633490877,1.6471551067822905,0.6152782558190306,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
007860,(주)서연,2026-03-31,2025-12,0.6640276181665603,9.25624167259734,0.0739,0.0725,0.0248,1.1352000686638584,0.8584,0.0731,0.284686108629153,0.3896042136209423,-0.293338374926268,0.12698398244127576,0.29327814145638365,0.6386698381061058,1.7527499968982627,0.5900974265030122,-0.02574316408587993,0.6498104477755768,3.5405545070079527,-0.1807741472635228,1.679890179872215,0.6036460425690579,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
013520,(주)화승코퍼레이션,2026-03-31,2025-12,0.3530200500807735,1.1744467810217545,0.3389999999999999,0.174,0.8286,0.1297659955041717,0.1371,0.1241,0.40908416724701363,0.5473628094245057,0.46664954288151345,0.47436550651767756,1.7895407640272005,1.8574529305456209,0.5049976072237697,0.2067187070041318,-0.1361540025165687,0.8445112012568309,0.4462250263168256,-0.5605156329945996,-0.05714530333888701,0.5400077443495641,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
100840,에스앤티에너지(주),2026-03-31,2025-12,2.202912719122455,10.209127641351325,0.2327,0.1539,0.5313,1.2209602467962166,0.901,0.2026,0.270018925634846,-0.3909952879412243,0.25919773851332734,0.04607379206898301,1.1895682375116299,1.6160978550970075,0.45441830860896326,0.3485182756866612,-0.016325487259191546,0.7184554379290141,3.723305700516121,-1.1450196845610612,1.28914300797753,0.5334110138287539,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
015360,(주)인베니,2026-03-31,2025-12,0.6845088702760505,4.421490358479811,0.1675,0.1211,0.4968999999999999,-1.4393764738592811,0.7793000000000001,0.4135,0.3591044383993507,0.3792150980345309,0.13237833856788345,0.2902326250005884,0.8215700368642618,1.2222447966534993,2.1375417378985975,0.36492562571249043,-0.3084679714625007,0.8475628451332696,3.201220718123067,-2.7153624167313373,0.24292915069586485,0.5145696376717517,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
007610,선도전기(주),2026-03-31,2025-12,1.491239753491441,10.29370416084866,0.1563,0.0674,0.9712,-0.3342563990144731,0.6365,-0.1531,0.2687170917017562,-0.029999160353944326,0.27493569993268435,0.17121787709349875,0.758355622029131,0.5774304906042188,-0.16770706435315524,0.1387045176528749,-0.18711020441692183,0.22393467230322953,2.58861812579991,1.5034910306260767,2.0460545782129933,0.5056559919508024,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
105560,(주)KB금융지주,2026-03-31,2025-12,1.907674916094638,13.005220656118317,0.1465,0.1206,0.2373,1.029568849581136,0.6376,0.0351,0.2269803992408454,-0.2412359058127803,-1.4788562114367951,-0.49770390600291003,0.7030430090483916,1.216240939055275,3.097770268524306,0.48874388346555,-0.03734296140200572,1.0936910277383034,2.593337053331811,0.102170489163554,1.3477537712476826,0.4729535959310277,0.6,fundamental_value_quality_growth,"Fundamental Value/Quality MVP preview. Momentum, Low Volatility, KOSPI200 membership, liquidity, and sector constraints are not applied yet."
