ticker,name,available_date,fiscal_period,pbr,per,roe,roa,debt_ratio,operating_cash_flow_to_net_income,per_value_z,pbr_value_z,value_score,roe_quality_z,roa_quality_z,debt_ratio_quality_z,operating_cash_flow_to_net_income_quality_z,quality_score,composite_score,composite_weight_coverage,factor_scope,sector,weight,weighting_method,constraint_note,portfolio_note
007340,(주)디엔오토모티브,2025-03-31,2024-12,0.8547846401932933,3.813339925403844,0.2919,0.1488235060581345,0.5061896449006563,1.0241359996756532,0.44880914925167,0.2249151046103682,0.3368621269310191,1.4698124094930156,1.6693185990880497,0.3677120039013741,0.0494273376089451,0.8890675875228461,0.6380651054356519,0.55,fundamental_value_quality_mvp,Consumer Discretionary,0.022727272727272728,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
483650,(주)달바글로벌,2025-03-31,2024-12,,,0.3046999999999999,0.1339426569929732,0.3060413212019607,0.858493586484655,0.2509481430293276,0.3582107209898766,0.3045794320096021,1.5398288830323097,1.4767822512185702,0.4663103111178846,0.0124056592414173,0.8738317761525455,0.6150807106330257,0.55,fundamental_value_quality_mvp,Consumer Staples,0.03947368421052632,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
383220,(주)에프앤에프,2025-03-31,2024-12,1.39254852692368,6.429268139231841,0.2343,0.1681993337287354,0.2877291542083904,1.2984767103275678,0.3821506963329825,-0.167947247301453,0.1071017245157647,1.1547382785661913,1.9200133733116376,0.4753313642731944,0.1107434785490249,0.915206623675012,0.5478862149662632,0.55,fundamental_value_quality_mvp,Consumer Discretionary,0.022727272727272728,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
011200,에이치엠엠(주),2025-03-31,2024-12,0.5611407086155523,4.238134351601154,0.1494,0.1099630291372547,0.204066189481295,1.2982655939647445,0.4379846399592846,0.4394361024513834,0.438710371205334,0.6903321376688406,1.1665210591056572,0.51654593228139,0.1106962932784653,0.6210238555835882,0.538154089957109,0.55,fundamental_value_quality_mvp,Industrials,0.03947368421052632,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
005380,현대자동차(주),2025-03-31,2024-12,0.8312658440867169,4.700997994613798,0.1883,0.1273150936222211,0.3888967973051969,0.9701334132862656,0.4261900600497768,0.2420967149426302,0.3341433874962035,0.9031165767843522,1.3910313077683345,0.425493533158278,0.0373575642591857,0.6892497454925375,0.5278377645851129,0.55,fundamental_value_quality_mvp,Consumer Discretionary,0.022727272727272728,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
073240,금호타이어(주),2025-03-31,2024-12,1.1742942205282356,2.9650705864048312,0.4846,0.1274899935833771,2.106460155277933,0.6859714691748153,0.4704245443137876,-0.0085019921603504,0.2309612760767186,2.0851259310155266,1.3932942565836897,-0.4206231692136882,-0.0261536578760229,0.7579108401273763,0.518388311013441,0.55,fundamental_value_quality_mvp,Consumer Discretionary,0.022727272727272728,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
241560,두산밥캣(주),2025-03-31,2024-12,1.24006848042534,6.763099448620889,0.1948,0.1542114735184701,0.1890037062684827,1.0525231424836394,0.3736440872822967,-0.0565532486244927,0.1585454193289019,0.9386718172535252,1.7390309906800925,0.5239661060795785,0.0557719666840995,0.8143602201743239,0.5162625834264047,0.55,fundamental_value_quality_mvp,Heavy Industries,0.03947368421052632,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
010060,오씨아이홀딩스(주),2025-03-31,2024-12,0.4919270542280131,4.619028360507597,0.1091,0.1018322196544302,0.0458390864324817,1.1673236300097063,0.4282787905305855,0.4900000018095665,0.459139396170076,0.4698896467599684,1.0613203171190582,0.5944927480632252,0.0814302908038087,0.5517832506865151,0.5096724077244973,0.55,fundamental_value_quality_mvp,Energy & Chemicals,0.03947368421052632,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
028050,삼성이앤에이(주),2025-03-31,2024-12,1.0607933538760652,4.219941904625181,0.2866,0.1107364727941698,1.2700406374276063,1.4524883950686975,0.4384482155130071,0.0744158431894922,0.2564320293512497,1.4408212134181515,1.1765282849254453,-0.0085810043887547,0.1451656470473347,0.6884835352505443,0.4920964871145012,0.55,fundamental_value_quality_mvp,Constructions,0.03947368421052632,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
111770,(주)영원무역,2025-03-31,2024-12,0.9435546483544244,5.596003563654758,0.1778,0.1195772837422162,0.410069088576411,1.0357495842118831,0.4033837436262166,0.1600643493886845,0.2817240465074506,0.84568118833415,1.2909154038786546,0.4150635078617423,0.0520230157514666,0.6509207789565034,0.483104082388752,0.55,fundamental_value_quality_mvp,Consumer Discretionary,0.022727272727272728,equal_weight,"Applied max_single_name_weight=5.0%, max_sector_weight=25.0%.","KOSPI200 current-universe Value/Quality MVP preview. Momentum, Low Volatility, liquidity and transaction costs are not applied yet."
