rank,ticker,name,signal_date,composite_score,value_score,quality_score,growth_score,momentum_score,low_volatility_score,return_6m,return_12m_ex_1m,volatility_1y,max_drawdown_1y,candidate_label,recommendation_note
1,000660,에스케이하이닉스(주),2026-06-30,0.9754179189694676,-0.4795206546564211,1.373301635398183,-0.5624516306332739,5.194267777247001,-1.1531785930102303,3.8446069469835464,8.464503042596348,0.7426913208261595,-0.2656960873521383,factor_based_model_portfolio_candidate,"모멘텀 상위, 퀄리티 양호"
2,011070,엘지이노텍(주),2026-06-30,0.798370721067064,0.1599405769980525,0.0626582328867211,0.0648441973014041,4.272156108750329,-0.5909731144216787,2.491103202846975,8.504563233376793,0.7893205385982749,-0.4019607843137255,factor_based_model_portfolio_candidate,"모멘텀 상위, 밸류에이션 우호"
3,009150,삼성전기(주),2026-06-30,0.7303125385930757,-0.3292865793918321,0.140907773728889,-0.1825234561533047,5.313361563011721,-1.3350636348910123,7.632411067193676,14.992481203007518,0.7298625309770207,-0.2229367631296891,factor_based_model_portfolio_candidate,모멘텀 상위
4,081660,(주)미스토홀딩스,2026-06-30,0.5096645910025382,-0.5562212920418402,1.6585513635876858,2.522848066623493,-0.4178610223892846,0.3268473546579221,-0.0674915635545556,0.1079881656804733,0.3707617556351558,-0.3339483394833948,factor_based_model_portfolio_candidate,"퀄리티 양호, 성장성 양호, 저변동성 우호"
5,047040,(주)대우건설,2026-06-30,0.492018892822036,0.4279407235069239,-1.050127965804138,-0.5338755508404242,4.044064056917635,-0.5392977645157255,4.01063829787234,4.881032547699214,0.9568907094440644,-0.5103633916554509,factor_based_model_portfolio_candidate,"모멘텀 상위, 밸류에이션 우호"
6,138930,(주)BNK금융지주,2026-06-30,0.4056481981421722,-0.0323171348741503,0.9097262827184768,1.8682587334416905,-0.2125869954090793,0.2099371845936865,0.0676268002504696,0.4290569243840272,0.349627662530235,-0.2988962472406181,factor_based_model_portfolio_candidate,"퀄리티 양호, 성장성 양호, 저변동성 우호"
7,402340,에스케이스퀘어(주),2026-06-30,0.3812251874847217,-2.9984581376564647,0.4783318022380134,2.5591290631545616,4.905574648163583,-1.128855323044191,4.841652323580035,7.308625336927223,0.8151616204751742,-0.312960235640648,factor_based_model_portfolio_candidate,"모멘텀 상위, 성장성 양호"
8,005930,삼성전자(주),2026-06-30,0.3726450765444695,-0.2907242879634119,0.4354285078725849,0.0196288720835336,2.566158272399824,-0.8936276006057103,2.1420507996237066,4.301003344481606,0.601445933365137,-0.2330275229357797,factor_based_model_portfolio_candidate,모멘텀 상위
9,000210,디엘(주),2026-06-30,0.3685119198743855,0.2265167520460111,0.8139460805080019,1.2564526547175958,-0.2651938378227432,0.1789485691433563,0.1075544174135723,0.2026578073089702,0.6391387247925432,-0.462890625,factor_based_model_portfolio_candidate,"퀄리티 양호, 밸류에이션 우호, 성장성 양호, 저변동성 우호"
10,034730,에스케이(주),2026-06-30,0.3560220898630208,-0.0002514759961803,0.28919326394381,0.1700243060712248,2.044781319403054,-0.7108602580580998,2.336,2.4472208057113716,0.6340577059739259,-0.2875739644970414,factor_based_model_portfolio_candidate,모멘텀 상위
11,071050,한국투자금융지주(주),2026-06-30,0.3322702183142596,0.0394833883025788,1.1400751360259644,1.241406700068232,0.1420440571962957,-0.575844471069793,0.3583282114320836,0.8730283911671923,0.6383429997982745,-0.3162393162393162,factor_based_model_portfolio_candidate,"퀄리티 양호, 밸류에이션 우호, 성장성 양호"
12,096770,에스케이이노베이션(주),2026-06-30,0.3222323180030073,0.2392316911630906,0.6590734818657707,1.797616287991986,-0.4170302614434829,0.0065022411764492,-0.1030245746691871,0.1790306627101878,0.5932323249645197,-0.4025367156208278,factor_based_model_portfolio_candidate,"퀄리티 양호, 밸류에이션 우호, 성장성 양호, 저변동성 우호"
13,000990,(주)디비하이텍,2026-06-30,0.3039722826004153,0.1259011641875199,0.6017064269833619,-0.0455120890184916,1.4450159486722969,-0.8119079801245765,1.208269525267994,2.925925925925926,0.771577312319654,-0.3487528344671201,factor_based_model_portfolio_candidate,"모멘텀 상위, 퀄리티 양호, 밸류에이션 우호"
14,066570,엘지전자(주),2026-06-30,0.2783949002410762,0.2178207325682426,-0.0715237994448492,0.0060250583409839,1.4227540873583346,-0.2166632817276875,1.1527041357370096,2.970189701897019,0.8343434621198483,-0.500891719745223,factor_based_model_portfolio_candidate,"모멘텀 상위, 밸류에이션 우호"
15,175330,(주)JB금융지주,2026-06-30,0.2722227580591064,-0.2369368448161077,1.1896857969659975,0.1018172820606682,-0.363153799307679,0.4824227583855142,0.0,0.1327014218009479,0.4160412363971628,-0.3906666666666667,factor_based_model_portfolio_candidate,"퀄리티 양호, 저변동성 우호"
16,161890,한국콜마(주),2026-06-30,0.2487637047412303,0.1298770994998401,0.3517058663282575,0.06822269189283,-0.0285621522544337,0.6362906227290481,0.5843949044585988,-0.0478841870824053,0.4501179188786952,-0.4404761904761904,factor_based_model_portfolio_candidate,"밸류에이션 우호, 저변동성 우호"
17,139130,(주)아이엠금융지주,2026-06-30,0.2349207164853981,0.0138047254103649,0.6967572683875194,0.91132998754998,-0.1392547042116423,-0.0300091993837124,0.1412084181941615,0.4948275862068965,0.3775531647263578,-0.2688221709006928,factor_based_model_portfolio_candidate,"퀄리티 양호, 밸류에이션 우호, 성장성 양호"
18,005380,현대자동차(주),2026-06-30,0.2130235044987383,0.2076293562373037,0.1600832847060941,0.0086713619746445,0.9626478686227172,-0.3615068282955955,0.7157712305025996,2.5097087378640777,0.6410377415732708,-0.3593333333333333,factor_based_model_portfolio_candidate,밸류에이션 우호
19,000120,씨제이대한통운(주),2026-06-30,0.2082799255760897,0.3914983109721617,0.0965349919417894,-0.058462756322962,-0.560156138853428,1.0207455162529189,-0.2240837696335078,0.0070671378091873,0.4369556524904107,-0.5072065888812629,factor_based_model_portfolio_candidate,"밸류에이션 우호, 저변동성 우호"
20,004170,(주)신세계,2026-06-30,0.1988348324189585,0.1880776100612264,0.1626080226880074,-0.1046499653029127,1.5992646851301096,-0.9911225813204028,2.02,1.794357026587086,0.580522292990196,-0.201859229747676,factor_based_model_portfolio_candidate,"모멘텀 상위, 밸류에이션 우호"
21,259960,(주)크래프톤,2026-06-30,0.1948297196050871,-0.019100957515756,0.6051248645799221,0.1176137376552837,-0.5554995987973054,0.7383114441648914,-0.0445344129554655,-0.326797385620915,0.4188252330220038,-0.4418604651162791,factor_based_model_portfolio_candidate,"퀄리티 양호, 저변동성 우호"
22,004000,롯데정밀화학(주),2026-06-30,0.1922349130826141,0.3727419675253438,0.1954496509286912,0.1745402136422771,-0.3110142124208351,0.4746791479452235,-0.0587606837606837,0.3941798941798942,0.4409486300156222,-0.4037921348314607,factor_based_model_portfolio_candidate,"밸류에이션 우호, 저변동성 우호"
23,069960,(주)현대백화점,2026-06-30,0.1868355762047649,0.3449668757372195,0.1597586778297403,0.0945329423059545,0.5347551522378162,-0.2787506843256689,1.1146288209606987,0.5249999999999999,0.5638621300444137,-0.3300448430493273,factor_based_model_portfolio_candidate,밸류에이션 우호
24,073240,금호타이어(주),2026-06-30,0.1770650904496945,0.3157733784053222,0.4921971797622627,-0.3150597571393548,-0.5331123559127858,0.5660044890214547,-0.2204472843450479,0.0767468499427261,0.4525418385743602,-0.4282868525896414,factor_based_model_portfolio_candidate,"밸류에이션 우호, 저변동성 우호"
25,268280,미원스페셜티케미칼(주),2026-06-30,0.1658809073711298,0.1514960217386465,0.4771196276276959,-0.0624412612851941,-0.7188935989552201,0.7937492047455381,-0.281143635125936,-0.332890365448505,0.3017810936237474,-0.3838709677419355,factor_based_model_portfolio_candidate,"밸류에이션 우호, 저변동성 우호"
26,023530,롯데쇼핑(주),2026-06-30,0.1643459402690867,0.4177130980412389,0.1696048319841699,0.0845862314106372,0.812416991934586,-0.7671278188262323,1.2839838492597575,0.9852150537634408,0.5098210935908409,-0.2037267080745342,factor_based_model_portfolio_candidate,밸류에이션 우호
27,251270,넷마블(주),2026-06-30,0.1642206292994265,0.1525145234540315,0.112144961917463,0.5894027514899932,-0.677206477980393,0.8727838920181611,-0.2400813835198372,-0.2940199335548172,0.4446841104097739,-0.4830882352941176,factor_based_model_portfolio_candidate,"밸류에이션 우호, 성장성 양호, 저변동성 우호"
28,014820,동원시스템즈(주),2026-06-30,0.1611688185524337,0.3116386307299834,0.1516299608290155,0.189699168122783,-0.7017491334041617,0.8336579026561903,-0.2875,-0.2719734660033167,0.3909569657776029,-0.4439628482972136,factor_based_model_portfolio_candidate,"밸류에이션 우호, 저변동성 우호"
29,456040,오씨아이(주),2026-06-30,0.1603262381580156,0.4484697271789612,-0.2304651119146528,-0.1473332795420859,0.4081816650560901,0.1946103964246453,0.575,1.209090909090909,0.6199671103821708,-0.4546666666666666,factor_based_model_portfolio_candidate,"밸류에이션 우호, 저변동성 우호"
30,105560,(주)KB금융지주,2026-06-30,0.1600059368642376,-0.49770390600291,1.0936910277383034,1.3477537712476826,-0.0823023502999455,-0.5365287531719491,0.2699680511182107,0.4074766355140187,0.400577309285925,-0.1842417061611374,factor_based_model_portfolio_candidate,"퀄리티 양호, 성장성 양호"
