ticker,company_name,years,first_year,last_year,avg_labor_share,avg_payout_share,avg_dividend_share,avg_buyback_share,avg_value_added_trn,latest_labor_share,latest_payout_share,shareholder_over_labor_tilt,payout_to_labor_ratio
229640,엘에스에코에너지(주),9,2016,2025,0.16649460932728447,0.6705655857258926,0.6224233594866968,0.009355851477682676,0.0104052033333333,0.0648963643493361,0.5361198252198757,0.5040709763986082,4.027551332954797
003550,(주)엘지,13,2013,2025,0.06862302430572588,0.5182860028134118,0.4722667189376645,0.04905188847250231,0.7820216069230769,0.0577800015458065,0.3071739695193524,0.4496629785076859,7.552654638250418
100250,(주)진양홀딩스,15,2010,2025,0.08712923854205203,0.5224342949448233,0.49645808852334833,0.016799428518669755,0.014225089999999966,0.0577800015458065,0.3079733427269746,0.4353050564027713,5.996084709183769
267250,에이치디현대(주),8,2018,2025,0.06824649320816656,0.47355762251328753,0.4282293807747695,0.04874160828347774,0.53632890125,0.0577800015458065,0.1594933711788296,0.405311129305121,6.938929756710493
036530,(주)에스앤티홀딩스,15,2010,2025,0.1837746064260245,0.5803801469391872,0.48435288209860766,0.1050286085973051,0.024638300666666668,0.0577800015458065,0.0675934609124955,0.39660554051316266,3.158108501637901
016450,한세예스24홀딩스(주),16,2010,2025,0.3219049031668338,0.6399422343812138,0.5987406980394937,0.010608995705235737,0.014436889374999975,0.1999653804275576,0.7770635639089176,0.31803733121438,1.9879853586745482
026960,(주)동서,16,2010,2025,0.23784655044849357,0.5430807601783607,0.5275882989551824,0.0052702613086924,0.13236306437499998,0.1732909534569497,0.5147763374288642,0.30523420972986715,2.2833240976348175
072710,(주)농심홀딩스,13,2013,2025,0.2007299114593683,0.4965420799280993,0.4965420799280993,0.0,0.020807876153846144,0.1488518280949326,0.4495993847376813,0.295812168468731,2.4736825534275653
078930,(주)지에스,16,2010,2025,0.274461561070782,0.553332667056583,0.5236841753112963,0.0,0.35934175,0.0912221617310054,0.8992884544775458,0.278871105985801,2.0160661656875214
092230,케이피엑스홀딩스(주),12,2013,2025,0.15532660987705124,0.4237622351786647,0.3865715865935592,0.01795582102417914,0.03764295416666664,0.0804982687610956,0.2774882725326022,0.26843562530161347,2.7282011466940124
009970,(주)영원무역홀딩스,16,2010,2025,0.14527731006792372,0.4044928517421514,0.4043474220599807,0.0,0.044375042499999975,0.1111471229841155,0.3595239884550656,0.25921554167422767,2.7842809834036206
001940,KISCO홀딩스(주),13,2013,2025,0.20837002733521334,0.46551698938526875,0.33993154303128564,0.12852272415348895,0.018222390769230754,0.1198282901302316,0.4695457259972065,0.2571469620500554,2.234088056418847
002960,한국쉘석유(주),16,2010,2025,0.24254415805276858,0.4633419820265229,0.4633419820265229,0.0,0.05288411062499998,0.1991589928404778,0.5455955564327877,0.2207978239737543,1.9103407220623179
192400,쿠쿠홀딩스(주),14,2012,2025,0.2186101051440232,0.42371486251120777,0.4058118699190006,0.0006545511188224143,0.07523745285714283,0.1317846280440713,0.8546490166519203,0.20510475736718456,1.938221758925823
443060,에이치디현대마린솔루션(주),8,2018,2025,0.20059679046006926,0.3855759962501555,0.3825945203264455,0.0,0.22229193374999998,0.1675729760672552,0.2086817979853888,0.18497920579008623,1.9221443940645109
001040,씨제이(주),16,2010,2025,0.27882805325463067,0.43237936485277023,0.40430546627801406,0.024795253451428596,0.167832709375,0.2452480187445122,0.559717025295066,0.15355131159813956,1.5507025200865059
006260,(주)엘에스,13,2013,2025,0.13041065494124274,0.2749575182513872,0.2701584547764628,0.004799063474924415,0.21609092307692307,0.1281702137522236,0.1980757084996784,0.14454686331014446,2.1083976487601483
001800,(주)오리온홀딩스,16,2010,2025,0.394777158611771,0.5378613669563331,0.463226490380305,0.006269468147641894,0.12230697812499997,0.0804122195496632,0.8853291631423763,0.14308420834456215,1.3624429763052046
015860,일진홀딩스(주),12,2013,2025,0.43077902574341076,0.5664901084604622,0.5385497904429419,0.0,0.010246034166666642,0.5211484114946358,0.6719475593041029,0.13571108271705146,1.3150364214758368
002030,아세아(주),16,2010,2025,0.2163315167767045,0.3290359636940756,0.21548250641739242,0.10690210034322167,0.027244882499999987,0.1608618734162815,0.5859307950790722,0.11270444691737111,1.5209802464136728
000140,하이트진로홀딩스(주),16,2010,2025,0.07737018019925791,0.17464630615968815,0.17456285768039115,8.34484792970125e-05,0.05677543874999999,0.1247063749386128,0.245598467187962,0.09727612596043024,2.25728188444058
033780,(주)케이티앤지,14,2012,2025,0.27900599866876996,0.3717819287053465,0.2835431973067026,0.08823873139864384,1.7298862792857144,0.3413347374018741,0.5452536230170554,0.09277593003657653,1.3325230657378022
003480,(주)한진중공업홀딩스,12,2010,2025,0.1734188893762566,0.25530155430069107,0.25530155430069107,0.0,0.016226833333333333,0.0577800015458065,0.0549738219895288,0.08188266492443447,1.4721669318662198
010130,고려아연(주),16,2010,2025,0.14245030141608178,0.2193416515008587,0.1658362440101575,0.02701744725913849,1.071356194375,0.2097861426169042,0.2347689667046353,0.0768913500847769,1.5397766752362683
